gate_id,gate_title,candidate_id,sample_id,field,value,source_file,measured_at,operator_or_agent,instrument_id,notes
h_a_medium_stability,H-A cell-free medium stability,alg_lam_pedot_lowdose_v0_1,ha_demo_001,ph_initial,,,,,,
h_a_medium_stability,H-A cell-free medium stability,alg_lam_pedot_lowdose_v0_1,ha_demo_001,ph_final,,,,,,
h_a_medium_stability,H-A cell-free medium stability,alg_lam_pedot_lowdose_v0_1,ha_demo_001,osmolality_initial_mosm,,,,,,
h_a_medium_stability,H-A cell-free medium stability,alg_lam_pedot_lowdose_v0_1,ha_demo_001,osmolality_final_mosm,,,,,,
h_a_medium_stability,H-A cell-free medium stability,alg_lam_pedot_lowdose_v0_1,ha_demo_001,conductivity_initial_ms_cm,,,,,,
h_a_medium_stability,H-A cell-free medium stability,alg_lam_pedot_lowdose_v0_1,ha_demo_001,conductivity_final_ms_cm,,,,,,
h_a_medium_stability,H-A cell-free medium stability,alg_lam_pedot_lowdose_v0_1,ha_demo_001,visible_debris_present,,,,,,
h_b_electrical_interface,H-B electrical interface benefit,alg_lam_pedot_lowdose_v0_1,hb_demo_001,impedance_1khz_control_ohm,,,,,,
h_b_electrical_interface,H-B electrical interface benefit,alg_lam_pedot_lowdose_v0_1,hb_demo_001,impedance_1khz_candidate_ohm,,,,,,
h_b_electrical_interface,H-B electrical interface benefit,alg_lam_pedot_lowdose_v0_1,hb_demo_001,charge_storage_control_mC_cm2,,,,,,
h_b_electrical_interface,H-B electrical interface benefit,alg_lam_pedot_lowdose_v0_1,hb_demo_001,charge_storage_candidate_mC_cm2,,,,,,
h_b_electrical_interface,H-B electrical interface benefit,alg_lam_pedot_lowdose_v0_1,hb_demo_001,noise_control_uvrms,,,,,,
h_b_electrical_interface,H-B electrical interface benefit,alg_lam_pedot_lowdose_v0_1,hb_demo_001,noise_candidate_uvrms,,,,,,
h_c_network_response,H-C cell and network response,alg_lam_pedot_lowdose_v0_1,hc_demo_candidate,viability_pct,,,,,,
h_c_network_response,H-C cell and network response,alg_lam_pedot_lowdose_v0_1,hc_demo_candidate,burst_rate_hz,,,,,,
h_c_network_response,H-C cell and network response,alg_lam_pedot_lowdose_v0_1,hc_demo_candidate,inflammation_marker,,,,,,
h_c_network_response,H-C cell and network response,hydrogel_laminin_control,hc_demo_control,viability_pct,,,,,,
h_c_network_response,H-C cell and network response,hydrogel_laminin_control,hc_demo_control,burst_rate_hz,,,,,,
h_c_network_response,H-C cell and network response,hydrogel_laminin_control,hc_demo_control,inflammation_marker,,,,,,
