run_id,date,operator_or_agent,phase,timepoint,replicate,article_id,variant_id,control_article_id,cell_model,culture_day,mea_coupon_id,hydrogel_matrix,pedot_pss_loading_fraction,laminin_or_peptide_density,visible_shedding,swelling_fraction,delamination_score,optical_transparency_fraction,electrode_window_access,eis_1khz_initial_ohm,eis_1khz_current_ohm,eis_1khz_pct_hydrogel_control,charge_storage_capacity_initial,charge_storage_capacity_current,charge_storage_capacity_retention_fraction,baseline_noise_uv,viability_pct_hydrogel_control,ldh_pct_hydrogel_control,neurite_coverage_pct_hydrogel_control,morphology_stress_score,electrode_yield_pct_hydrogel_control,spike_rate_pct_hydrogel_control,burst_rate_pct_hydrogel_control,synchrony_pct_hydrogel_control,post_stim_spike_recovery_pct_pre,post_stim_burst_recovery_pct_pre,post_stim_impedance_degradation_pct,gate_results,source_file,notes
NHIPEDOT-LONG-L1-long_laminin_only_control-R1-0d,synthetic_fixture_not_evidence,limina,L1,0 d,1,long_laminin_only_control,laminin_only_mea,long_laminin_only_control,neural_culture_model_tbd,0,,none,0,standard_laminin,false,0.04,0,0.90,true,900,940,115,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_laminin_only_control-R1-7d,synthetic_fixture_not_evidence,limina,L1,7 d,1,long_laminin_only_control,laminin_only_mea,long_laminin_only_control,neural_culture_model_tbd,7,,none,0,standard_laminin,false,0.04,0,0.90,true,900,940,115,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_laminin_only_control-R1-14d,synthetic_fixture_not_evidence,limina,L1,14 d,1,long_laminin_only_control,laminin_only_mea,long_laminin_only_control,neural_culture_model_tbd,14,,none,0,standard_laminin,false,0.04,0,0.90,true,900,940,115,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_laminin_only_control-R1-28d,synthetic_fixture_not_evidence,limina,L1,28 d,1,long_laminin_only_control,laminin_only_mea,long_laminin_only_control,neural_culture_model_tbd,28,,none,0,standard_laminin,false,0.04,0,0.90,true,900,940,115,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_laminin_only_control-R1-42d,synthetic_fixture_not_evidence,limina,L1,42 d,1,long_laminin_only_control,laminin_only_mea,long_laminin_only_control,neural_culture_model_tbd,42,,none,0,standard_laminin,false,0.04,0,0.90,true,900,940,115,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_laminin_only_control-R2-0d,synthetic_fixture_not_evidence,limina,L1,0 d,2,long_laminin_only_control,laminin_only_mea,long_laminin_only_control,neural_culture_model_tbd,0,,none,0,standard_laminin,false,0.04,0,0.90,true,900,940,115,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_laminin_only_control-R2-7d,synthetic_fixture_not_evidence,limina,L1,7 d,2,long_laminin_only_control,laminin_only_mea,long_laminin_only_control,neural_culture_model_tbd,7,,none,0,standard_laminin,false,0.04,0,0.90,true,900,940,115,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_laminin_only_control-R2-14d,synthetic_fixture_not_evidence,limina,L1,14 d,2,long_laminin_only_control,laminin_only_mea,long_laminin_only_control,neural_culture_model_tbd,14,,none,0,standard_laminin,false,0.04,0,0.90,true,900,940,115,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_laminin_only_control-R2-28d,synthetic_fixture_not_evidence,limina,L1,28 d,2,long_laminin_only_control,laminin_only_mea,long_laminin_only_control,neural_culture_model_tbd,28,,none,0,standard_laminin,false,0.04,0,0.90,true,900,940,115,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_laminin_only_control-R2-42d,synthetic_fixture_not_evidence,limina,L1,42 d,2,long_laminin_only_control,laminin_only_mea,long_laminin_only_control,neural_culture_model_tbd,42,,none,0,standard_laminin,false,0.04,0,0.90,true,900,940,115,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_laminin_only_control-R3-0d,synthetic_fixture_not_evidence,limina,L1,0 d,3,long_laminin_only_control,laminin_only_mea,long_laminin_only_control,neural_culture_model_tbd,0,,none,0,standard_laminin,false,0.04,0,0.90,true,900,940,115,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_laminin_only_control-R3-7d,synthetic_fixture_not_evidence,limina,L1,7 d,3,long_laminin_only_control,laminin_only_mea,long_laminin_only_control,neural_culture_model_tbd,7,,none,0,standard_laminin,false,0.04,0,0.90,true,900,940,115,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_laminin_only_control-R3-14d,synthetic_fixture_not_evidence,limina,L1,14 d,3,long_laminin_only_control,laminin_only_mea,long_laminin_only_control,neural_culture_model_tbd,14,,none,0,standard_laminin,false,0.04,0,0.90,true,900,940,115,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_laminin_only_control-R3-28d,synthetic_fixture_not_evidence,limina,L1,28 d,3,long_laminin_only_control,laminin_only_mea,long_laminin_only_control,neural_culture_model_tbd,28,,none,0,standard_laminin,false,0.04,0,0.90,true,900,940,115,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_laminin_only_control-R3-42d,synthetic_fixture_not_evidence,limina,L1,42 d,3,long_laminin_only_control,laminin_only_mea,long_laminin_only_control,neural_culture_model_tbd,42,,none,0,standard_laminin,false,0.04,0,0.90,true,900,940,115,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R1-0d,synthetic_fixture_not_evidence,limina,L1,0 d,1,long_hydrogel_laminin_control,hydrogel_laminin_no_pedot,long_hydrogel_laminin_control,neural_culture_model_tbd,0,,candidate_soft_hydrogel,0,standard_laminin,false,0.04,0,0.90,true,900,940,100,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R1-7d,synthetic_fixture_not_evidence,limina,L1,7 d,1,long_hydrogel_laminin_control,hydrogel_laminin_no_pedot,long_hydrogel_laminin_control,neural_culture_model_tbd,7,,candidate_soft_hydrogel,0,standard_laminin,false,0.04,0,0.90,true,900,940,100,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R1-14d,synthetic_fixture_not_evidence,limina,L1,14 d,1,long_hydrogel_laminin_control,hydrogel_laminin_no_pedot,long_hydrogel_laminin_control,neural_culture_model_tbd,14,,candidate_soft_hydrogel,0,standard_laminin,false,0.04,0,0.90,true,900,940,100,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R1-28d,synthetic_fixture_not_evidence,limina,L1,28 d,1,long_hydrogel_laminin_control,hydrogel_laminin_no_pedot,long_hydrogel_laminin_control,neural_culture_model_tbd,28,,candidate_soft_hydrogel,0,standard_laminin,false,0.04,0,0.90,true,900,940,100,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R1-42d,synthetic_fixture_not_evidence,limina,L1,42 d,1,long_hydrogel_laminin_control,hydrogel_laminin_no_pedot,long_hydrogel_laminin_control,neural_culture_model_tbd,42,,candidate_soft_hydrogel,0,standard_laminin,false,0.04,0,0.90,true,900,940,100,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R2-0d,synthetic_fixture_not_evidence,limina,L1,0 d,2,long_hydrogel_laminin_control,hydrogel_laminin_no_pedot,long_hydrogel_laminin_control,neural_culture_model_tbd,0,,candidate_soft_hydrogel,0,standard_laminin,false,0.04,0,0.90,true,900,940,100,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R2-7d,synthetic_fixture_not_evidence,limina,L1,7 d,2,long_hydrogel_laminin_control,hydrogel_laminin_no_pedot,long_hydrogel_laminin_control,neural_culture_model_tbd,7,,candidate_soft_hydrogel,0,standard_laminin,false,0.04,0,0.90,true,900,940,100,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R2-14d,synthetic_fixture_not_evidence,limina,L1,14 d,2,long_hydrogel_laminin_control,hydrogel_laminin_no_pedot,long_hydrogel_laminin_control,neural_culture_model_tbd,14,,candidate_soft_hydrogel,0,standard_laminin,false,0.04,0,0.90,true,900,940,100,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R2-28d,synthetic_fixture_not_evidence,limina,L1,28 d,2,long_hydrogel_laminin_control,hydrogel_laminin_no_pedot,long_hydrogel_laminin_control,neural_culture_model_tbd,28,,candidate_soft_hydrogel,0,standard_laminin,false,0.04,0,0.90,true,900,940,100,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R2-42d,synthetic_fixture_not_evidence,limina,L1,42 d,2,long_hydrogel_laminin_control,hydrogel_laminin_no_pedot,long_hydrogel_laminin_control,neural_culture_model_tbd,42,,candidate_soft_hydrogel,0,standard_laminin,false,0.04,0,0.90,true,900,940,100,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R3-0d,synthetic_fixture_not_evidence,limina,L1,0 d,3,long_hydrogel_laminin_control,hydrogel_laminin_no_pedot,long_hydrogel_laminin_control,neural_culture_model_tbd,0,,candidate_soft_hydrogel,0,standard_laminin,false,0.04,0,0.90,true,900,940,100,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R3-7d,synthetic_fixture_not_evidence,limina,L1,7 d,3,long_hydrogel_laminin_control,hydrogel_laminin_no_pedot,long_hydrogel_laminin_control,neural_culture_model_tbd,7,,candidate_soft_hydrogel,0,standard_laminin,false,0.04,0,0.90,true,900,940,100,1.0,0.92,0.92,8,,,,,,,,,,,,,,synthetic_fixture_not_material_evidence
