task_id,branch,route,run_id,sample_event,target_field,wide_field,unit,instrument_class,entry_file,merge_command,source_file_requirement,value_required,provenance_required,notes
LC-0001,NHI-PEDOT H-A,supplier_or_build_record,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,date,date,,record_review,data/nhi_pedot_h_a_local_capture_template.csv,python3 scripts/merge_nhi_pedot_h_a_raw_measurements.py --raw data/nhi_pedot_h_a_local_capture_template.csv,"Bench sheet, vendor report, or chain-of-custody CSV.",yes,measured_at/operator_or_agent/source_file plus instrument_id for measured fields,long_form_h_a_raw_entry
LC-0002,NHI-PEDOT H-A,supplier_or_build_record,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,medium_name,medium_name,,record_review,data/nhi_pedot_h_a_local_capture_template.csv,python3 scripts/merge_nhi_pedot_h_a_raw_measurements.py --raw data/nhi_pedot_h_a_local_capture_template.csv,"Medium bottle photo, lot CoA, or chain-of-custody record.",yes,measured_at/operator_or_agent/source_file plus instrument_id for measured fields,long_form_h_a_raw_entry
LC-0003,NHI-PEDOT H-A,supplier_or_build_record,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,medium_lot,medium_lot,,record_review,data/nhi_pedot_h_a_local_capture_template.csv,python3 scripts/merge_nhi_pedot_h_a_raw_measurements.py --raw data/nhi_pedot_h_a_local_capture_template.csv,"Lot CoA, bottle label image, or chain-of-custody record.",yes,measured_at/operator_or_agent/source_file plus instrument_id for measured fields,long_form_h_a_raw_entry
LC-0004,NHI-PEDOT H-A,inhouse_ready,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,temperature_c,temperature_c,C,temperature_probe_or_incubator_log,data/nhi_pedot_h_a_local_capture_template.csv,python3 scripts/merge_nhi_pedot_h_a_raw_measurements.py --raw data/nhi_pedot_h_a_local_capture_template.csv,"Incubator log, probe export, or time-stamped photo.",yes,measured_at/operator_or_agent/source_file plus instrument_id for measured fields,long_form_h_a_raw_entry
LC-0005,NHI-PEDOT H-A,supplier_or_build_record,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,mea_coupon_id,mea_coupon_id,,record_review,data/nhi_pedot_h_a_local_capture_template.csv,python3 scripts/merge_nhi_pedot_h_a_raw_measurements.py --raw data/nhi_pedot_h_a_local_capture_template.csv,"Build sheet, sample label, or chain-of-custody record.",yes,measured_at/operator_or_agent/source_file plus instrument_id for measured fields,long_form_h_a_raw_entry
LC-0006,NHI-PEDOT H-A,supplier_or_build_record,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,electrode_material,electrode_material,,record_review,data/nhi_pedot_h_a_local_capture_template.csv,python3 scripts/merge_nhi_pedot_h_a_raw_measurements.py --raw data/nhi_pedot_h_a_local_capture_template.csv,"Supplier documentation, build sheet, or sample label record.",yes,measured_at/operator_or_agent/source_file plus instrument_id for measured fields,long_form_h_a_raw_entry
LC-0007,NHI-PEDOT H-A,supplier_or_build_record,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,laminin_or_peptide_density,laminin_or_peptide_density,,record_review,data/nhi_pedot_h_a_local_capture_template.csv,python3 scripts/merge_nhi_pedot_h_a_raw_measurements.py --raw data/nhi_pedot_h_a_local_capture_template.csv,"Recipe record, supplier CoA, coating log, or build sheet.",yes,measured_at/operator_or_agent/source_file plus instrument_id for measured fields,long_form_h_a_raw_entry
LC-0008,NHI-PEDOT H-A,supplier_or_build_record,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,sterilization_or_aseptic_protocol,sterilization_or_aseptic_protocol,,record_review,data/nhi_pedot_h_a_local_capture_template.csv,python3 scripts/merge_nhi_pedot_h_a_raw_measurements.py --raw data/nhi_pedot_h_a_local_capture_template.csv,"SOP identifier, batch record, or chain-of-custody record.",yes,measured_at/operator_or_agent/source_file plus instrument_id for measured fields,long_form_h_a_raw_entry
LC-0009,NHI-PEDOT H-A,inhouse_ready,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,initial,pH,pH_initial,pH,calibrated_pH_meter,data/nhi_pedot_h_a_local_capture_template.csv,python3 scripts/merge_nhi_pedot_h_a_raw_measurements.py --raw data/nhi_pedot_h_a_local_capture_template.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",yes,measured_at/operator_or_agent/source_file plus instrument_id for measured fields,long_form_h_a_raw_entry
LC-0010,NHI-PEDOT H-A,outsourced_preferred,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,initial,osmolality,osmolality_initial_mOsm_kg,mOsm/kg,osmometer_or_external_lab,data/nhi_pedot_h_a_osmolality_outsource_template.csv,python3 scripts/merge_nhi_pedot_h_a_raw_measurements.py --base data/nhi_pedot_h_a_runs_active.csv --raw data/nhi_pedot_h_a_osmolality_outsource_template.csv --out data/nhi_pedot_h_a_runs_active.csv,Osmometer report/export reconciled to run_id.,yes,measured_at/operator_or_agent/source_file plus instrument_id for measured fields,long_form_h_a_raw_entry
