queue_id,apply,value,measured_at,operator_or_agent,instrument_id,source_file,notes,priority,batch,branch,route,run_id,sample_event,target_field,unit,instrument_class,entry_file,row_locator,source_class,source_file_requirement,recommended_source_file,capture_instruction,current_value_status,provenance_status
SQ-0001,yes,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_date_bench_or_chain_of_custody_record.csv,,1,B0_HA_setup_records,NHI-PEDOT H-A,supplier_or_build_record,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,date,,record_review,data/nhi_pedot_h_a_smoke_local_capture_template.csv,NHIPEDOT-H-A-no_coating_mea_control-R1-0h|metadata|date,bench_or_chain_of_custody_record,"Bench sheet, vendor report, or chain-of-custody CSV.",data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_date_bench_or_chain_of_custody_record.csv,"Capture date with record_review; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file.",awaiting_value,missing_measured_at_or_date+operator_or_agent+source_file
SQ-0002,yes,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_medium_name_bench_or_chain_of_custody_record.csv,,1,B0_HA_setup_records,NHI-PEDOT H-A,supplier_or_build_record,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,medium_name,,record_review,data/nhi_pedot_h_a_smoke_local_capture_template.csv,NHIPEDOT-H-A-no_coating_mea_control-R1-0h|metadata|medium_name,bench_or_chain_of_custody_record,"Medium bottle photo, lot CoA, or chain-of-custody record.",data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_medium_name_bench_or_chain_of_custody_record.csv,"Capture medium_name with record_review; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file.",awaiting_value,missing_measured_at_or_date+operator_or_agent+source_file
SQ-0003,yes,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_medium_lot_bench_or_chain_of_custody_record.csv,,1,B0_HA_setup_records,NHI-PEDOT H-A,supplier_or_build_record,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,medium_lot,,record_review,data/nhi_pedot_h_a_smoke_local_capture_template.csv,NHIPEDOT-H-A-no_coating_mea_control-R1-0h|metadata|medium_lot,bench_or_chain_of_custody_record,"Lot CoA, bottle label image, or chain-of-custody record.",data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_medium_lot_bench_or_chain_of_custody_record.csv,"Capture medium_lot with record_review; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file.",awaiting_value,missing_measured_at_or_date+operator_or_agent+source_file
SQ-0004,yes,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_temperature_c_temperature_or_incubator_log.csv,,2,B1_HA_local_measurements,NHI-PEDOT H-A,inhouse_ready,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,temperature_c,C,temperature_probe_or_incubator_log,data/nhi_pedot_h_a_smoke_local_capture_template.csv,NHIPEDOT-H-A-no_coating_mea_control-R1-0h|metadata|temperature_c,temperature_or_incubator_log,"Incubator log, probe export, or time-stamped photo.",data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_temperature_c_temperature_or_incubator_log.csv,"Capture temperature_c with temperature_probe_or_incubator_log; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file.",awaiting_value,missing_measured_at_or_date+operator_or_agent+source_file+instrument_id
SQ-0005,yes,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_mea_coupon_id_supplier_or_build_record.pdf,,1,B0_HA_setup_records,NHI-PEDOT H-A,supplier_or_build_record,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,mea_coupon_id,,record_review,data/nhi_pedot_h_a_smoke_local_capture_template.csv,NHIPEDOT-H-A-no_coating_mea_control-R1-0h|metadata|mea_coupon_id,supplier_or_build_record,"Build sheet, sample label, or chain-of-custody record.",data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_mea_coupon_id_supplier_or_build_record.pdf,"Record build/supplier provenance for mea_coupon_id; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file.",awaiting_value,missing_measured_at_or_date+operator_or_agent+source_file
SQ-0006,yes,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_electrode_material_supplier_or_build_record.pdf,,1,B0_HA_setup_records,NHI-PEDOT H-A,supplier_or_build_record,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,electrode_material,,record_review,data/nhi_pedot_h_a_smoke_local_capture_template.csv,NHIPEDOT-H-A-no_coating_mea_control-R1-0h|metadata|electrode_material,supplier_or_build_record,"Supplier documentation, build sheet, or sample label record.",data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_electrode_material_supplier_or_build_record.pdf,"Record build/supplier provenance for electrode_material; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file.",awaiting_value,missing_measured_at_or_date+operator_or_agent+source_file
SQ-0007,yes,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_laminin_or_peptide_density_supplier_or_build_record.pdf,,1,B0_HA_setup_records,NHI-PEDOT H-A,supplier_or_build_record,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,laminin_or_peptide_density,,record_review,data/nhi_pedot_h_a_smoke_local_capture_template.csv,NHIPEDOT-H-A-no_coating_mea_control-R1-0h|metadata|laminin_or_peptide_density,supplier_or_build_record,"Recipe record, supplier CoA, coating log, or build sheet.",data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_laminin_or_peptide_density_supplier_or_build_record.pdf,"Record build/supplier provenance for laminin_or_peptide_density; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file.",awaiting_value,missing_measured_at_or_date+operator_or_agent+source_file
SQ-0008,yes,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_sterilization_or_aseptic_protocol_supplier_or_build_record.pdf,,1,B0_HA_setup_records,NHI-PEDOT H-A,supplier_or_build_record,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,sterilization_or_aseptic_protocol,,record_review,data/nhi_pedot_h_a_smoke_local_capture_template.csv,NHIPEDOT-H-A-no_coating_mea_control-R1-0h|metadata|sterilization_or_aseptic_protocol,supplier_or_build_record,"SOP identifier, batch record, or chain-of-custody record.",data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_sterilization_or_aseptic_protocol_supplier_or_build_record.pdf,"Record build/supplier provenance for sterilization_or_aseptic_protocol; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file.",awaiting_value,missing_measured_at_or_date+operator_or_agent+source_file
SQ-0009,yes,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/initial_pH_initial_pH_meter_export_or_photo.csv,,2,B1_HA_local_measurements,NHI-PEDOT H-A,inhouse_ready,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,initial,pH,pH,calibrated_pH_meter,data/nhi_pedot_h_a_smoke_local_capture_template.csv,NHIPEDOT-H-A-no_coating_mea_control-R1-0h|initial|pH,pH_meter_export_or_photo,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/initial_pH_initial_pH_meter_export_or_photo.csv,"Capture pH with calibrated_pH_meter; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file.",awaiting_value,missing_measured_at_or_date+operator_or_agent+source_file+instrument_id
SQ-0010,yes,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/initial_osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf,,3,B2_HA_osmolality_external,NHI-PEDOT H-A,outsourced_preferred,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,initial,osmolality,mOsm/kg,osmometer_or_external_lab,data/nhi_pedot_h_a_smoke_osmolality_outsource_template.csv,NHIPEDOT-H-A-no_coating_mea_control-R1-0h|initial|osmolality,osmometer_report_or_export,Osmometer report/export reconciled to run_id.,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/initial_osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf,"Obtain external report/export for osmolality; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file.",awaiting_value,missing_measured_at_or_date+operator_or_agent+source_file+instrument_id
