queue_id,branch,batch,run_id,sample_event,target_field,source_class,source_file,source_dir,source_file_exists,value_filled,ready_for_apply,source_file_requirement,capture_instruction
SQ-0001,NHI-PEDOT H-A,B0_HA_setup_records,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,date,bench_or_chain_of_custody_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_date_bench_or_chain_of_custody_record.csv,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,false,false,"Bench sheet, vendor report, or chain-of-custody CSV.","Capture date with record_review; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0002,NHI-PEDOT H-A,B0_HA_setup_records,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,medium_name,bench_or_chain_of_custody_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_medium_name_bench_or_chain_of_custody_record.csv,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,false,false,"Medium bottle photo, lot CoA, or chain-of-custody record.","Capture medium_name with record_review; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0003,NHI-PEDOT H-A,B0_HA_setup_records,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,medium_lot,bench_or_chain_of_custody_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_medium_lot_bench_or_chain_of_custody_record.csv,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,false,false,"Lot CoA, bottle label image, or chain-of-custody record.","Capture medium_lot with record_review; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0004,NHI-PEDOT H-A,B1_HA_local_measurements,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,temperature_c,temperature_or_incubator_log,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_temperature_c_temperature_or_incubator_log.csv,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,false,false,"Incubator log, probe export, or time-stamped photo.","Capture temperature_c with temperature_probe_or_incubator_log; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0005,NHI-PEDOT H-A,B0_HA_setup_records,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,mea_coupon_id,supplier_or_build_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_mea_coupon_id_supplier_or_build_record.pdf,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,false,false,"Build sheet, sample label, or chain-of-custody record.","Record build/supplier provenance for mea_coupon_id; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0006,NHI-PEDOT H-A,B0_HA_setup_records,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,electrode_material,supplier_or_build_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_electrode_material_supplier_or_build_record.pdf,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,false,false,"Supplier documentation, build sheet, or sample label record.","Record build/supplier provenance for electrode_material; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0007,NHI-PEDOT H-A,B0_HA_setup_records,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,laminin_or_peptide_density,supplier_or_build_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_laminin_or_peptide_density_supplier_or_build_record.pdf,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,false,false,"Recipe record, supplier CoA, coating log, or build sheet.","Record build/supplier provenance for laminin_or_peptide_density; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0008,NHI-PEDOT H-A,B0_HA_setup_records,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,sterilization_or_aseptic_protocol,supplier_or_build_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_sterilization_or_aseptic_protocol_supplier_or_build_record.pdf,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,false,false,"SOP identifier, batch record, or chain-of-custody record.","Record build/supplier provenance for sterilization_or_aseptic_protocol; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0009,NHI-PEDOT H-A,B1_HA_local_measurements,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,initial,pH,pH_meter_export_or_photo,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/initial_pH_initial_pH_meter_export_or_photo.csv,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,false,false,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.","Capture pH with calibrated_pH_meter; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0010,NHI-PEDOT H-A,B2_HA_osmolality_external,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,initial,osmolality,osmometer_report_or_export,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/initial_osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,false,false,Osmometer report/export reconciled to run_id.,"Obtain external report/export for osmolality; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
