queue_id,run_id,sample_event,target_field,value,measured_at,operator_or_agent,instrument_id,source_file,notes,apply,priority,batch,branch,route,unit,instrument_class,instrument_required,source_class,recommended_round,starter_batch,source_dir,source_file_exists,source_file_requirement,capture_instruction
SQ-0001,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,date,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_date_bench_or_chain_of_custody_record.csv,,,1,B0_HA_setup_records,NHI-PEDOT H-A,supplier_or_build_record,,record_review,false,bench_or_chain_of_custody_record,R1_h_a_local_and_records,false,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,"Bench sheet, vendor report, or chain-of-custody CSV.","Capture date with record_review; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0002,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,medium_name,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_medium_name_bench_or_chain_of_custody_record.csv,,,1,B0_HA_setup_records,NHI-PEDOT H-A,supplier_or_build_record,,record_review,false,bench_or_chain_of_custody_record,R1_h_a_local_and_records,false,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,"Medium bottle photo, lot CoA, or chain-of-custody record.","Capture medium_name with record_review; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0003,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,medium_lot,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_medium_lot_bench_or_chain_of_custody_record.csv,,,1,B0_HA_setup_records,NHI-PEDOT H-A,supplier_or_build_record,,record_review,false,bench_or_chain_of_custody_record,R1_h_a_local_and_records,false,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,"Lot CoA, bottle label image, or chain-of-custody record.","Capture medium_lot with record_review; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0004,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,temperature_c,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_temperature_c_temperature_or_incubator_log.csv,,,2,B1_HA_local_measurements,NHI-PEDOT H-A,inhouse_ready,C,temperature_probe_or_incubator_log,true,temperature_or_incubator_log,R1_h_a_local_and_records,false,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,"Incubator log, probe export, or time-stamped photo.","Capture temperature_c with temperature_probe_or_incubator_log; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0005,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,mea_coupon_id,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_mea_coupon_id_supplier_or_build_record.pdf,,,1,B0_HA_setup_records,NHI-PEDOT H-A,supplier_or_build_record,,record_review,false,supplier_or_build_record,R1_h_a_local_and_records,false,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,"Build sheet, sample label, or chain-of-custody record.","Record build/supplier provenance for mea_coupon_id; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0006,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,electrode_material,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_electrode_material_supplier_or_build_record.pdf,,,1,B0_HA_setup_records,NHI-PEDOT H-A,supplier_or_build_record,,record_review,false,supplier_or_build_record,R1_h_a_local_and_records,false,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,"Supplier documentation, build sheet, or sample label record.","Record build/supplier provenance for electrode_material; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0007,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,laminin_or_peptide_density,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_laminin_or_peptide_density_supplier_or_build_record.pdf,,,1,B0_HA_setup_records,NHI-PEDOT H-A,supplier_or_build_record,,record_review,false,supplier_or_build_record,R1_h_a_local_and_records,false,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,"Recipe record, supplier CoA, coating log, or build sheet.","Record build/supplier provenance for laminin_or_peptide_density; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0008,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,sterilization_or_aseptic_protocol,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_sterilization_or_aseptic_protocol_supplier_or_build_record.pdf,,,1,B0_HA_setup_records,NHI-PEDOT H-A,supplier_or_build_record,,record_review,false,supplier_or_build_record,R1_h_a_local_and_records,false,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,"SOP identifier, batch record, or chain-of-custody record.","Record build/supplier provenance for sterilization_or_aseptic_protocol; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0009,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,initial,pH,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/initial_pH_initial_pH_meter_export_or_photo.csv,,,2,B1_HA_local_measurements,NHI-PEDOT H-A,inhouse_ready,pH,calibrated_pH_meter,true,pH_meter_export_or_photo,R1_h_a_local_and_records,false,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.","Capture pH with calibrated_pH_meter; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0010,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,initial,osmolality,,,,,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/initial_osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf,,,3,B2_HA_osmolality_external,NHI-PEDOT H-A,outsourced_preferred,mOsm/kg,osmometer_or_external_lab,true,osmometer_report_or_export,R2_h_a_osmolality_external,false,data/source_files/smoke/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h,false,Osmometer report/export reconciled to run_id.,"Obtain external report/export for osmolality; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
