queue_id,run_id,sample_event,target_field,branch,batch,instrument_required,value_status,metadata_status,source_status,ready_for_import,missing_items,source_file,source_file_requirement,capture_instruction
SQ-0096,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,date,NHI-PEDOT H-A,B0_HA_setup_records,false,missing_or_rejected,missing_or_rejected,missing_or_rejected,false,measured_at;operator_or_agent;source_file_missing;value,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_date_bench_or_chain_of_custody_record.csv,"Bench sheet, vendor report, or chain-of-custody CSV.","Capture date with record_review; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0097,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,medium_name,NHI-PEDOT H-A,B0_HA_setup_records,false,missing_or_rejected,missing_or_rejected,missing_or_rejected,false,measured_at;operator_or_agent;source_file_missing;value,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_medium_name_bench_or_chain_of_custody_record.csv,"Medium bottle photo, lot CoA, or chain-of-custody record.","Capture medium_name with record_review; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0098,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,medium_lot,NHI-PEDOT H-A,B0_HA_setup_records,false,missing_or_rejected,missing_or_rejected,missing_or_rejected,false,measured_at;operator_or_agent;source_file_missing;value,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_medium_lot_bench_or_chain_of_custody_record.csv,"Lot CoA, bottle label image, or chain-of-custody record.","Capture medium_lot with record_review; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0099,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,temperature_c,NHI-PEDOT H-A,B1_HA_local_measurements,true,missing_or_rejected,missing_or_rejected,missing_or_rejected,false,instrument_id;measured_at;operator_or_agent;source_file_missing;value,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_temperature_c_temperature_or_incubator_log.csv,"Incubator log, probe export, or time-stamped photo.","Capture temperature_c with temperature_probe_or_incubator_log; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0100,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,mea_coupon_id,NHI-PEDOT H-A,B0_HA_setup_records,false,missing_or_rejected,missing_or_rejected,missing_or_rejected,false,measured_at;operator_or_agent;source_file_missing;value,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_mea_coupon_id_supplier_or_build_record.pdf,"Build sheet, sample label, or chain-of-custody record.","Record build/supplier provenance for mea_coupon_id; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0101,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,electrode_material,NHI-PEDOT H-A,B0_HA_setup_records,false,missing_or_rejected,missing_or_rejected,missing_or_rejected,false,measured_at;operator_or_agent;source_file_missing;value,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_electrode_material_supplier_or_build_record.pdf,"Supplier documentation, build sheet, or sample label record.","Record build/supplier provenance for electrode_material; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0102,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,laminin_or_peptide_density,NHI-PEDOT H-A,B0_HA_setup_records,false,missing_or_rejected,missing_or_rejected,missing_or_rejected,false,measured_at;operator_or_agent;source_file_missing;value,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_laminin_or_peptide_density_supplier_or_build_record.pdf,"Recipe record, supplier CoA, coating log, or build sheet.","Record build/supplier provenance for laminin_or_peptide_density; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0103,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,sterilization_or_aseptic_protocol,NHI-PEDOT H-A,B0_HA_setup_records,false,missing_or_rejected,missing_or_rejected,missing_or_rejected,false,measured_at;operator_or_agent;source_file_missing;value,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_sterilization_or_aseptic_protocol_supplier_or_build_record.pdf,"SOP identifier, batch record, or chain-of-custody record.","Record build/supplier provenance for sterilization_or_aseptic_protocol; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0104,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,initial,pH,NHI-PEDOT H-A,B1_HA_local_measurements,true,missing_or_rejected,missing_or_rejected,missing_or_rejected,false,instrument_id;measured_at;operator_or_agent;source_file_missing;value,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/initial_pH_initial_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.","Capture pH with calibrated_pH_meter; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
SQ-0105,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,initial,osmolality,NHI-PEDOT H-A,B2_HA_osmolality_external,true,missing_or_rejected,missing_or_rejected,missing_or_rejected,false,instrument_id;measured_at;operator_or_agent;source_file_missing;value,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/initial_osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf,Osmometer report/export reconciled to run_id.,"Obtain external report/export for osmolality; Fill the matching long-form row value plus measured_at, operator_or_agent, instrument_id when measured, and source_file."
