sequence,queue_id,run_id,sample_event,target_field,unit,source_class,source_file,source_dir,source_file_exists,accepted_extensions,required_source_metadata,value_entry_hint,instrument_required,instrument_class,ready_for_import,missing_items,operator_action
1,SQ-0096,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,date,,bench_or_chain_of_custody_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_date_bench_or_chain_of_custody_record.csv,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,false,.csv;.tsv;.xlsx;.pdf;.md;.png;.jpg;.jpeg,"run_id or sample_id, operator, date, transfer or exposure event",Record the actual measurement or exposure date in ISO format.,false,record_review,false,measured_at;operator_or_agent;source_file_missing;value,"Place the real source file at `data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_date_bench_or_chain_of_custody_record.csv`, verify it includes run_id or sample_id, operator, date, transfer or exposure event, then fill queue_id `SQ-0096` in data/limina_smoke_source_values.csv."
2,SQ-0097,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,medium_name,,bench_or_chain_of_custody_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_medium_name_bench_or_chain_of_custody_record.csv,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,false,.csv;.tsv;.xlsx;.pdf;.md;.png;.jpg;.jpeg,"run_id or sample_id, operator, date, transfer or exposure event","Record the exact medium name from the bottle, CoA, or chain-of-custody record.",false,record_review,false,measured_at;operator_or_agent;source_file_missing;value,"Place the real source file at `data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_medium_name_bench_or_chain_of_custody_record.csv`, verify it includes run_id or sample_id, operator, date, transfer or exposure event, then fill queue_id `SQ-0097` in data/limina_smoke_source_values.csv."
3,SQ-0098,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,medium_lot,,bench_or_chain_of_custody_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_medium_lot_bench_or_chain_of_custody_record.csv,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,false,.csv;.tsv;.xlsx;.pdf;.md;.png;.jpg;.jpeg,"run_id or sample_id, operator, date, transfer or exposure event",Record the exact lot identifier from source documentation.,false,record_review,false,measured_at;operator_or_agent;source_file_missing;value,"Place the real source file at `data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_medium_lot_bench_or_chain_of_custody_record.csv`, verify it includes run_id or sample_id, operator, date, transfer or exposure event, then fill queue_id `SQ-0098` in data/limina_smoke_source_values.csv."
4,SQ-0099,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,temperature_c,C,temperature_or_incubator_log,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_temperature_c_temperature_or_incubator_log.csv,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,false,.csv;.tsv;.xlsx;.pdf;.png;.jpg;.jpeg;.heic,"run_id or batch window, date/time, temperature source",Record the measured temperature in Celsius.,true,temperature_probe_or_incubator_log,false,instrument_id;measured_at;operator_or_agent;source_file_missing;value,"Place the real source file at `data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_temperature_c_temperature_or_incubator_log.csv`, verify it includes run_id or batch window, date/time, temperature source, then fill queue_id `SQ-0099` in data/limina_smoke_source_values.csv."
5,SQ-0100,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,mea_coupon_id,,supplier_or_build_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_mea_coupon_id_supplier_or_build_record.pdf,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,false,.csv;.tsv;.xlsx;.pdf;.md;.png;.jpg;.jpeg,"lot, recipe, CoA, label, or build identifier",Record the exact MEA/coupon/sample identifier.,false,record_review,false,measured_at;operator_or_agent;source_file_missing;value,"Place the real source file at `data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_mea_coupon_id_supplier_or_build_record.pdf`, verify it includes lot, recipe, CoA, label, or build identifier, then fill queue_id `SQ-0100` in data/limina_smoke_source_values.csv."
6,SQ-0101,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,electrode_material,,supplier_or_build_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_electrode_material_supplier_or_build_record.pdf,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,false,.csv;.tsv;.xlsx;.pdf;.md;.png;.jpg;.jpeg,"lot, recipe, CoA, label, or build identifier",Record the exact electrode material from the build or supplier record.,false,record_review,false,measured_at;operator_or_agent;source_file_missing;value,"Place the real source file at `data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_electrode_material_supplier_or_build_record.pdf`, verify it includes lot, recipe, CoA, label, or build identifier, then fill queue_id `SQ-0101` in data/limina_smoke_source_values.csv."
7,SQ-0102,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,laminin_or_peptide_density,,supplier_or_build_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_laminin_or_peptide_density_supplier_or_build_record.pdf,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,false,.csv;.tsv;.xlsx;.pdf;.md;.png;.jpg;.jpeg,"lot, recipe, CoA, label, or build identifier",Record the actual coating density or recipe identifier.,false,record_review,false,measured_at;operator_or_agent;source_file_missing;value,"Place the real source file at `data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_laminin_or_peptide_density_supplier_or_build_record.pdf`, verify it includes lot, recipe, CoA, label, or build identifier, then fill queue_id `SQ-0102` in data/limina_smoke_source_values.csv."
8,SQ-0103,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,sterilization_or_aseptic_protocol,,supplier_or_build_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_sterilization_or_aseptic_protocol_supplier_or_build_record.pdf,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,false,.csv;.tsv;.xlsx;.pdf;.md;.png;.jpg;.jpeg,"lot, recipe, CoA, label, or build identifier","Record the exact SOP, batch, or protocol identifier.",false,record_review,false,measured_at;operator_or_agent;source_file_missing;value,"Place the real source file at `data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_sterilization_or_aseptic_protocol_supplier_or_build_record.pdf`, verify it includes lot, recipe, CoA, label, or build identifier, then fill queue_id `SQ-0103` in data/limina_smoke_source_values.csv."
9,SQ-0104,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,initial,pH,pH,pH_meter_export_or_photo,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/initial_pH_initial_pH_meter_export_or_photo.csv,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,false,.csv;.tsv;.xlsx;.pdf;.png;.jpg;.jpeg;.heic,"run_id, measurement date, instrument_id or calibration record",Record the measured pH value from a calibrated meter or reconciled display photo.,true,calibrated_pH_meter,false,instrument_id;measured_at;operator_or_agent;source_file_missing;value,"Place the real source file at `data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/initial_pH_initial_pH_meter_export_or_photo.csv`, verify it includes run_id, measurement date, instrument_id or calibration record, then fill queue_id `SQ-0104` in data/limina_smoke_source_values.csv."
10,SQ-0105,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,initial,osmolality,mOsm/kg,osmometer_report_or_export,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/initial_osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,false,.csv;.tsv;.xlsx;.pdf;.png;.jpg;.jpeg,"run_id, mOsm/kg value, vendor or osmometer identifier",Record the measured osmolality in mOsm/kg from the osmometer report.,true,osmometer_or_external_lab,false,instrument_id;measured_at;operator_or_agent;source_file_missing;value,"Place the real source file at `data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/initial_osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf`, verify it includes run_id, mOsm/kg value, vendor or osmometer identifier, then fill queue_id `SQ-0105` in data/limina_smoke_source_values.csv."
