queue_id,run_id,sample_event,target_field,source_class,source_file,extension,status,exists,size_bytes,sha256,validation,image_width,image_height,extraction_mode,value_to_extract,required_metadata,sidecar_hint,issue
SQ-0100,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,mea_coupon_id,supplier_or_build_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_mea_coupon_id_supplier_or_build_record.pdf,.pdf,missing_source_file,false,,,not_run_missing_file,,,manual_pdf_or_ocr_to_source_value_sidecar,MEA/coupon/sample identifier,"lot, recipe, CoA, label, or build identifier","Append a row to data/limina_smoke_source_values.csv or a run-local limina_values.csv with queue_id=SQ-0100, value, measured_at, operator_or_agent, instrument_id when required, source_file, notes, apply=yes.",
SQ-0101,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,electrode_material,supplier_or_build_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_electrode_material_supplier_or_build_record.pdf,.pdf,missing_source_file,false,,,not_run_missing_file,,,manual_pdf_or_ocr_to_source_value_sidecar,electrode material,"lot, recipe, CoA, label, or build identifier","Append a row to data/limina_smoke_source_values.csv or a run-local limina_values.csv with queue_id=SQ-0101, value, measured_at, operator_or_agent, instrument_id when required, source_file, notes, apply=yes.",
SQ-0102,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,laminin_or_peptide_density,supplier_or_build_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_laminin_or_peptide_density_supplier_or_build_record.pdf,.pdf,missing_source_file,false,,,not_run_missing_file,,,manual_pdf_or_ocr_to_source_value_sidecar,coating density or recipe identifier,"lot, recipe, CoA, label, or build identifier","Append a row to data/limina_smoke_source_values.csv or a run-local limina_values.csv with queue_id=SQ-0102, value, measured_at, operator_or_agent, instrument_id when required, source_file, notes, apply=yes.",
SQ-0103,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,sterilization_or_aseptic_protocol,supplier_or_build_record,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/metadata_sterilization_or_aseptic_protocol_supplier_or_build_record.pdf,.pdf,missing_source_file,false,,,not_run_missing_file,,,manual_pdf_or_ocr_to_source_value_sidecar,"SOP, batch, or protocol identifier","lot, recipe, CoA, label, or build identifier","Append a row to data/limina_smoke_source_values.csv or a run-local limina_values.csv with queue_id=SQ-0103, value, measured_at, operator_or_agent, instrument_id when required, source_file, notes, apply=yes.",
SQ-0105,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,initial,osmolality,osmometer_report_or_export,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/initial_osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf,.pdf,missing_source_file,false,,,not_run_missing_file,,,manual_pdf_or_ocr_to_source_value_sidecar,mOsm/kg value plus report/lab identifier,"run_id, mOsm/kg value, vendor or osmometer identifier","Append a row to data/limina_smoke_source_values.csv or a run-local limina_values.csv with queue_id=SQ-0105, value, measured_at, operator_or_agent, instrument_id when required, source_file, notes, apply=yes.",
SQ-0108,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,final,osmolality,osmometer_report_or_export,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/final_osmolality_final_mOsm_kg_osmometer_report_or_export.pdf,.pdf,missing_source_file,false,,,not_run_missing_file,,,manual_pdf_or_ocr_to_source_value_sidecar,mOsm/kg value plus report/lab identifier,"run_id, mOsm/kg value, vendor or osmometer identifier","Append a row to data/limina_smoke_source_values.csv or a run-local limina_values.csv with queue_id=SQ-0108, value, measured_at, operator_or_agent, instrument_id when required, source_file, notes, apply=yes.",
SQ-0110,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,physical_inspection,visible_precipitate,image_or_scoring_worksheet,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/physical_inspection_visible_precipitate_image_or_scoring_worksheet.png,.png,missing_source_file,false,,,not_run_missing_file,,,manual_image_scoring_to_source_value_sidecar,scored boolean,"run_id, imaging/scoring method, operator or vendor","Append a row to data/limina_smoke_source_values.csv or a run-local limina_values.csv with queue_id=SQ-0110, value, measured_at, operator_or_agent, instrument_id when required, source_file, notes, apply=yes.",
SQ-0111,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,physical_inspection,visible_shedding,image_or_scoring_worksheet,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/physical_inspection_visible_shedding_image_or_scoring_worksheet.png,.png,missing_source_file,false,,,not_run_missing_file,,,manual_image_scoring_to_source_value_sidecar,scored boolean,"run_id, imaging/scoring method, operator or vendor","Append a row to data/limina_smoke_source_values.csv or a run-local limina_values.csv with queue_id=SQ-0111, value, measured_at, operator_or_agent, instrument_id when required, source_file, notes, apply=yes.",
SQ-0113,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,physical_inspection,delamination_score,image_or_scoring_worksheet,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/physical_inspection_delamination_score_image_or_scoring_worksheet.png,.png,missing_source_file,false,,,not_run_missing_file,,,manual_image_scoring_to_source_value_sidecar,numeric or ordinal score,"run_id, imaging/scoring method, operator or vendor","Append a row to data/limina_smoke_source_values.csv or a run-local limina_values.csv with queue_id=SQ-0113, value, measured_at, operator_or_agent, instrument_id when required, source_file, notes, apply=yes.",
SQ-0114,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,physical_inspection,optical_transparency_fraction,image_or_scoring_worksheet,data/source_files/smoke/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/physical_inspection_optical_transparency_fraction_image_or_scoring_worksheet.png,.png,missing_source_file,false,,,not_run_missing_file,,,manual_image_scoring_to_source_value_sidecar,calculated transparency fraction,"run_id, imaging/scoring method, operator or vendor","Append a row to data/limina_smoke_source_values.csv or a run-local limina_values.csv with queue_id=SQ-0114, value, measured_at, operator_or_agent, instrument_id when required, source_file, notes, apply=yes.",
