profile,run_id,phase,sample_event,target_field,measured_at,operator_or_agent,instrument_id,value,unit,source_file_to_save_as,source_file_requirement,method_or_record_id,notes,conductivity_mS_cm,conductivity_meter_id,standard_check_record_id,temperature_c
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,,initial,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/initial_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,,final,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/final_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,,initial,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-24h/initial_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,,final,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-24h/final_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,,initial,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-72h/initial_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,,final,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-72h/final_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,,initial,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h/initial_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,,final,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h/final_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,,initial,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h/initial_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,,final,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h/final_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h,,initial,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h/initial_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h,,final,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h/final_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,,initial,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h/initial_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,,final,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h/final_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,,initial,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/initial_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,,final,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/final_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h,,initial,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h/initial_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h,,final,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h/final_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,,initial,conductivity,,,,,mS/cm,data/source_files/full/h_a/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h/initial_conductivity_conductivity_meter_export_or_photo.csv,"Conductivity meter export, calibration log, or display photo reconciled to run_id.",,,,,,
