profile,run_id,phase,sample_event,target_field,measured_at,operator_or_agent,instrument_id,value,unit,source_file_to_save_as,source_file_requirement,method_or_record_id,notes,image_file_name,imaging_method,scoring_method,score_or_boolean,reviewer
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,,physical_inspection,visible_precipitate,,,,,bool,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/physical_inspection_visible_precipitate_image_or_scoring_worksheet.png,Time-stamped image or vendor inspection report.,,,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,,physical_inspection,visible_shedding,,,,,bool,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/physical_inspection_visible_shedding_image_or_scoring_worksheet.png,Time-stamped image or microscopy/stereoscope export.,,,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,,physical_inspection,delamination_score,,,,,score,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/physical_inspection_delamination_score_image_or_scoring_worksheet.png,Image plus scoring worksheet or vendor image-analysis report.,,,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,,physical_inspection,optical_transparency_fraction,,,,,fraction,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/physical_inspection_optical_transparency_fraction_image_or_scoring_worksheet.png,Image-analysis export or vendor microscopy report.,,,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,,physical_inspection,visible_precipitate,,,,,bool,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-24h/physical_inspection_visible_precipitate_image_or_scoring_worksheet.png,Time-stamped image or vendor inspection report.,,,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,,physical_inspection,visible_shedding,,,,,bool,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-24h/physical_inspection_visible_shedding_image_or_scoring_worksheet.png,Time-stamped image or microscopy/stereoscope export.,,,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,,physical_inspection,delamination_score,,,,,score,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-24h/physical_inspection_delamination_score_image_or_scoring_worksheet.png,Image plus scoring worksheet or vendor image-analysis report.,,,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,,physical_inspection,optical_transparency_fraction,,,,,fraction,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-24h/physical_inspection_optical_transparency_fraction_image_or_scoring_worksheet.png,Image-analysis export or vendor microscopy report.,,,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,,physical_inspection,visible_precipitate,,,,,bool,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-72h/physical_inspection_visible_precipitate_image_or_scoring_worksheet.png,Time-stamped image or vendor inspection report.,,,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,,physical_inspection,visible_shedding,,,,,bool,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-72h/physical_inspection_visible_shedding_image_or_scoring_worksheet.png,Time-stamped image or microscopy/stereoscope export.,,,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,,physical_inspection,delamination_score,,,,,score,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-72h/physical_inspection_delamination_score_image_or_scoring_worksheet.png,Image plus scoring worksheet or vendor image-analysis report.,,,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,,physical_inspection,optical_transparency_fraction,,,,,fraction,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-72h/physical_inspection_optical_transparency_fraction_image_or_scoring_worksheet.png,Image-analysis export or vendor microscopy report.,,,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,,physical_inspection,visible_precipitate,,,,,bool,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h/physical_inspection_visible_precipitate_image_or_scoring_worksheet.png,Time-stamped image or vendor inspection report.,,,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,,physical_inspection,visible_shedding,,,,,bool,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h/physical_inspection_visible_shedding_image_or_scoring_worksheet.png,Time-stamped image or microscopy/stereoscope export.,,,,,,,
