profile,run_id,phase,sample_event,target_field,measured_at,operator_or_agent,instrument_id,value,unit,source_file_to_save_as,source_file_requirement,method_or_record_id,notes,pH_value,pH_meter_id,calibration_record_id,temperature_c
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,,initial,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/initial_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,,final,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/final_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,,initial,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-24h/initial_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,,final,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-24h/final_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,,initial,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-72h/initial_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,,final,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-72h/final_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,,initial,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h/initial_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,,final,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h/final_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,,initial,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h/initial_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,,final,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h/final_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h,,initial,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h/initial_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h,,final,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h/final_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,,initial,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h/initial_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,,final,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h/final_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,,initial,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/initial_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,,final,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/final_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h,,initial,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h/initial_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h,,final,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h/final_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,,initial,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h/initial_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,,final,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h/final_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,,initial,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h/initial_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,,final,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h/final_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h,,initial,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h/initial_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h,,final,pH,,,,,pH,data/source_files/full/h_a/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h/final_pH_pH_meter_export_or_photo.csv,"Meter export, calibration log, or time-stamped display photo reconciled to run_id.",,,,,,
