profile,run_id,phase,sample_event,target_field,measured_at,operator_or_agent,instrument_id,value,unit,source_file_to_save_as,source_file_requirement,method_or_record_id,notes,pre_measurement,post_measurement,measurement_basis,calculation,swelling_fraction
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,,physical_inspection,swelling_fraction,,,,,fraction,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/physical_inspection_swelling_fraction_swelling_dimension_or_mass_worksheet.csv,"Image analysis export, caliper log, or mass/dimension worksheet.",,,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,,physical_inspection,swelling_fraction,,,,,fraction,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-24h/physical_inspection_swelling_fraction_swelling_dimension_or_mass_worksheet.csv,"Image analysis export, caliper log, or mass/dimension worksheet.",,,,,,,
h_a,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,,physical_inspection,swelling_fraction,,,,,fraction,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-72h/physical_inspection_swelling_fraction_swelling_dimension_or_mass_worksheet.csv,"Image analysis export, caliper log, or mass/dimension worksheet.",,,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,,physical_inspection,swelling_fraction,,,,,fraction,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h/physical_inspection_swelling_fraction_swelling_dimension_or_mass_worksheet.csv,"Image analysis export, caliper log, or mass/dimension worksheet.",,,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,,physical_inspection,swelling_fraction,,,,,fraction,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h/physical_inspection_swelling_fraction_swelling_dimension_or_mass_worksheet.csv,"Image analysis export, caliper log, or mass/dimension worksheet.",,,,,,,
h_a,NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h,,physical_inspection,swelling_fraction,,,,,fraction,data/source_files/full/h_a/NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h/physical_inspection_swelling_fraction_swelling_dimension_or_mass_worksheet.csv,"Image analysis export, caliper log, or mass/dimension worksheet.",,,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,,physical_inspection,swelling_fraction,,,,,fraction,data/source_files/full/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h/physical_inspection_swelling_fraction_swelling_dimension_or_mass_worksheet.csv,"Image analysis export, caliper log, or mass/dimension worksheet.",,,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,,physical_inspection,swelling_fraction,,,,,fraction,data/source_files/full/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h/physical_inspection_swelling_fraction_swelling_dimension_or_mass_worksheet.csv,"Image analysis export, caliper log, or mass/dimension worksheet.",,,,,,,
h_a,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h,,physical_inspection,swelling_fraction,,,,,fraction,data/source_files/full/h_a/NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h/physical_inspection_swelling_fraction_swelling_dimension_or_mass_worksheet.csv,"Image analysis export, caliper log, or mass/dimension worksheet.",,,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,,physical_inspection,swelling_fraction,,,,,fraction,data/source_files/full/h_a/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h/physical_inspection_swelling_fraction_swelling_dimension_or_mass_worksheet.csv,"Image analysis export, caliper log, or mass/dimension worksheet.",,,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,,physical_inspection,swelling_fraction,,,,,fraction,data/source_files/full/h_a/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h/physical_inspection_swelling_fraction_swelling_dimension_or_mass_worksheet.csv,"Image analysis export, caliper log, or mass/dimension worksheet.",,,,,,,
h_a,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h,,physical_inspection,swelling_fraction,,,,,fraction,data/source_files/full/h_a/NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h/physical_inspection_swelling_fraction_swelling_dimension_or_mass_worksheet.csv,"Image analysis export, caliper log, or mass/dimension worksheet.",,,,,,,
