profile,run_id,phase,sample_event,target_field,measured_at,operator_or_agent,instrument_id,value,unit,source_file_to_save_as,source_file_requirement,method_or_record_id,notes,temperature_c,temperature_source,covered_window_start,covered_window_end,probe_or_incubator_id
nhi_forward,NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,H-B,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-B-hydrogel_laminin_control-R1-24hsoak,H-B,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-24hsoak/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-B-hydrogel_laminin_control-R1-72hsoak,H-B,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-72hsoak/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-B-hydrogel_laminin_control-R1-post_cycling,H-B,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-post_cycling/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-B-lead_nhi_pedot_low_loading-R1-pre_soak,H-B,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-lead_nhi_pedot_low_loading-R1-pre_soak/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-B-lead_nhi_pedot_low_loading-R1-24hsoak,H-B,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-lead_nhi_pedot_low_loading-R1-24hsoak/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-B-lead_nhi_pedot_low_loading-R1-72hsoak,H-B,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-lead_nhi_pedot_low_loading-R1-72hsoak/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-B-lead_nhi_pedot_low_loading-R1-post_cycling,H-B,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-lead_nhi_pedot_low_loading-R1-post_cycling/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-B-challenge_nhi_pedot_high_loading-R1-pre_soak,H-B,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-challenge_nhi_pedot_high_loading-R1-pre_soak/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-B-challenge_nhi_pedot_high_loading-R1-24hsoak,H-B,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-challenge_nhi_pedot_high_loading-R1-24hsoak/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-B-challenge_nhi_pedot_high_loading-R1-72hsoak,H-B,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-challenge_nhi_pedot_high_loading-R1-72hsoak/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-B-challenge_nhi_pedot_high_loading-R1-post_cycling,H-B,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-challenge_nhi_pedot_high_loading-R1-post_cycling/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-laminin_only_control-R1-24h,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-laminin_only_control-R1-24h/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-laminin_only_control-R1-7d,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-laminin_only_control-R1-7d/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-laminin_only_control-R1-14d,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-laminin_only_control-R1-14d/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-laminin_only_control-R1-28difearlygatespass,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-laminin_only_control-R1-28difearlygatespass/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-hydrogel_laminin_control-R1-24h,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-hydrogel_laminin_control-R1-24h/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-hydrogel_laminin_control-R1-7d,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-hydrogel_laminin_control-R1-7d/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-hydrogel_laminin_control-R1-14d,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-hydrogel_laminin_control-R1-14d/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-hydrogel_laminin_control-R1-28difearlygatespass,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-hydrogel_laminin_control-R1-28difearlygatespass/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-lead_nhi_pedot_low_loading-R1-24h,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-lead_nhi_pedot_low_loading-R1-24h/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-lead_nhi_pedot_low_loading-R1-7d,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-lead_nhi_pedot_low_loading-R1-7d/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-lead_nhi_pedot_low_loading-R1-14d,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-lead_nhi_pedot_low_loading-R1-14d/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-lead_nhi_pedot_low_loading-R1-28difearlygatespass,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-lead_nhi_pedot_low_loading-R1-28difearlygatespass/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-challenge_nhi_pedot_high_loading-R1-24h,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-challenge_nhi_pedot_high_loading-R1-24h/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-challenge_nhi_pedot_high_loading-R1-7d,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-challenge_nhi_pedot_high_loading-R1-7d/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-challenge_nhi_pedot_high_loading-R1-14d,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-challenge_nhi_pedot_high_loading-R1-14d/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
nhi_forward,NHIPEDOT-H-C-challenge_nhi_pedot_high_loading-R1-28difearlygatespass,H-C,,temperature_c,,,,,,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-C-challenge_nhi_pedot_high_loading-R1-28difearlygatespass/temperature_c_temperature_or_incubator_log.csv,,,,,,,,
