profile,run_id,phase,sample_event,target_field,measured_at,operator_or_agent,instrument_id,value,unit,source_file_to_save_as,source_file_requirement,method_or_record_id,notes,image_file_name,imaging_method,scoring_method,score_or_boolean,reviewer
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-0d,L1,,delamination_score,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-0d/delamination_score_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-0d,L1,,electrode_window_access,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-0d/electrode_window_access_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-0d,L1,,optical_transparency_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-0d/optical_transparency_fraction_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-0d,L1,,visible_shedding,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-0d/visible_shedding_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-7d,L1,,delamination_score,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-7d/delamination_score_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-7d,L1,,electrode_window_access,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-7d/electrode_window_access_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-7d,L1,,optical_transparency_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-7d/optical_transparency_fraction_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-7d,L1,,visible_shedding,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-7d/visible_shedding_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-14d,L1,,delamination_score,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-14d/delamination_score_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-14d,L1,,electrode_window_access,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-14d/electrode_window_access_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-14d,L1,,optical_transparency_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-14d/optical_transparency_fraction_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-14d,L1,,visible_shedding,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-14d/visible_shedding_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-28d,L1,,delamination_score,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-28d/delamination_score_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-28d,L1,,electrode_window_access,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-28d/electrode_window_access_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-28d,L1,,optical_transparency_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-28d/optical_transparency_fraction_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-28d,L1,,visible_shedding,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-28d/visible_shedding_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-42d,L1,,delamination_score,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-42d/delamination_score_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-42d,L1,,electrode_window_access,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-42d/electrode_window_access_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-42d,L1,,optical_transparency_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-42d/optical_transparency_fraction_image_or_scoring_worksheet.png,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-42d,L1,,visible_shedding,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-42d/visible_shedding_image_or_scoring_worksheet.png,,,,,,,,
