profile,run_id,phase,sample_event,target_field,measured_at,operator_or_agent,instrument_id,value,unit,source_file_to_save_as,source_file_requirement,method_or_record_id,notes,conductivity_mS_cm,conductivity_meter_id,standard_check_record_id,temperature_c
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,,conductivity_final_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/conductivity_final_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,,conductivity_initial_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/conductivity_initial_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,A,,conductivity_final_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/conductivity_final_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,A,,conductivity_initial_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/conductivity_initial_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
zrc_phase_a,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,A,,conductivity_final_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h/conductivity_final_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
zrc_phase_a,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,A,,conductivity_initial_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h/conductivity_initial_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
zrc_phase_a,ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h,A,,conductivity_final_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h/conductivity_final_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
zrc_phase_a,ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h,A,,conductivity_initial_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h/conductivity_initial_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
zrc_phase_a,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h,A,,conductivity_final_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h/conductivity_final_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
zrc_phase_a,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h,A,,conductivity_initial_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h/conductivity_initial_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
zrc_phase_a,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h,A,,conductivity_final_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h/conductivity_final_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
zrc_phase_a,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h,A,,conductivity_initial_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h/conductivity_initial_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
zrc_phase_a,ZRCND-A-no_module_static_control-R1-0h,A,,conductivity_final_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-no_module_static_control-R1-0h/conductivity_final_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
zrc_phase_a,ZRCND-A-no_module_static_control-R1-0h,A,,conductivity_initial_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-no_module_static_control-R1-0h/conductivity_initial_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
zrc_phase_a,ZRCND-A-no_module_static_control-R1-24h,A,,conductivity_final_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-no_module_static_control-R1-24h/conductivity_final_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
zrc_phase_a,ZRCND-A-no_module_static_control-R1-24h,A,,conductivity_initial_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-no_module_static_control-R1-24h/conductivity_initial_mS_cm_conductivity_meter_export_or_photo.csv,,,,,,,
