profile,run_id,phase,sample_event,target_field,measured_at,operator_or_agent,instrument_id,value,unit,source_file_to_save_as,source_file_requirement,method_or_record_id,notes,osmolality_mOsm_kg,osmometer_id,report_id,vendor_or_lab
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,,osmolality_final_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/osmolality_final_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,,osmolality_initial_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,A,,osmolality_final_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/osmolality_final_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,A,,osmolality_initial_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
zrc_phase_a,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,A,,osmolality_final_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h/osmolality_final_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
zrc_phase_a,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,A,,osmolality_initial_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h/osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
zrc_phase_a,ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h,A,,osmolality_final_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h/osmolality_final_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
zrc_phase_a,ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h,A,,osmolality_initial_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h/osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
zrc_phase_a,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h,A,,osmolality_final_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h/osmolality_final_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
zrc_phase_a,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h,A,,osmolality_initial_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h/osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
zrc_phase_a,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h,A,,osmolality_final_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h/osmolality_final_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
zrc_phase_a,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h,A,,osmolality_initial_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h/osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
zrc_phase_a,ZRCND-A-no_module_static_control-R1-0h,A,,osmolality_final_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-no_module_static_control-R1-0h/osmolality_final_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
zrc_phase_a,ZRCND-A-no_module_static_control-R1-0h,A,,osmolality_initial_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-no_module_static_control-R1-0h/osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
zrc_phase_a,ZRCND-A-no_module_static_control-R1-24h,A,,osmolality_final_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-no_module_static_control-R1-24h/osmolality_final_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
zrc_phase_a,ZRCND-A-no_module_static_control-R1-24h,A,,osmolality_initial_mOsm_kg,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-no_module_static_control-R1-24h/osmolality_initial_mOsm_kg_osmometer_report_or_export.pdf,,,,,,,
