priority,run_id,phase,timepoint,replicate,article_id,variant_id,control_article_id,required_fields,gate_focus,activation_condition
1,NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,H-B,pre-soak,1,hydrogel_laminin_control,hydrogel_laminin_no_pedot,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;swelling_fraction;delamination_score;optical_transparency_fraction;eis_1khz_initial_ohm;eis_1khz_final_ohm;charge_storage_capacity_initial;charge_storage_capacity_final,physical_stability_gate;electrochemical_benefit_gate,after_H-A_pass
2,NHIPEDOT-H-B-hydrogel_laminin_control-R1-24hsoak,H-B,24 h soak,1,hydrogel_laminin_control,hydrogel_laminin_no_pedot,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;swelling_fraction;delamination_score;optical_transparency_fraction;eis_1khz_initial_ohm;eis_1khz_final_ohm;charge_storage_capacity_initial;charge_storage_capacity_final,physical_stability_gate;electrochemical_benefit_gate,after_H-A_pass
3,NHIPEDOT-H-B-hydrogel_laminin_control-R1-72hsoak,H-B,72 h soak,1,hydrogel_laminin_control,hydrogel_laminin_no_pedot,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;swelling_fraction;delamination_score;optical_transparency_fraction;eis_1khz_initial_ohm;eis_1khz_final_ohm;charge_storage_capacity_initial;charge_storage_capacity_final,physical_stability_gate;electrochemical_benefit_gate,after_H-A_pass
4,NHIPEDOT-H-B-hydrogel_laminin_control-R1-post_cycling,H-B,post-cycling,1,hydrogel_laminin_control,hydrogel_laminin_no_pedot,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;swelling_fraction;delamination_score;optical_transparency_fraction;eis_1khz_initial_ohm;eis_1khz_final_ohm;charge_storage_capacity_initial;charge_storage_capacity_final,physical_stability_gate;electrochemical_benefit_gate,after_H-A_pass
5,NHIPEDOT-H-B-lead_nhi_pedot_low_loading-R1-pre_soak,H-B,pre-soak,1,lead_nhi_pedot_low_loading,nhi_pedot_low_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;swelling_fraction;delamination_score;optical_transparency_fraction;eis_1khz_initial_ohm;eis_1khz_final_ohm;charge_storage_capacity_initial;charge_storage_capacity_final,physical_stability_gate;electrochemical_benefit_gate,after_H-A_pass
6,NHIPEDOT-H-B-lead_nhi_pedot_low_loading-R1-24hsoak,H-B,24 h soak,1,lead_nhi_pedot_low_loading,nhi_pedot_low_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;swelling_fraction;delamination_score;optical_transparency_fraction;eis_1khz_initial_ohm;eis_1khz_final_ohm;charge_storage_capacity_initial;charge_storage_capacity_final,physical_stability_gate;electrochemical_benefit_gate,after_H-A_pass
7,NHIPEDOT-H-B-lead_nhi_pedot_low_loading-R1-72hsoak,H-B,72 h soak,1,lead_nhi_pedot_low_loading,nhi_pedot_low_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;swelling_fraction;delamination_score;optical_transparency_fraction;eis_1khz_initial_ohm;eis_1khz_final_ohm;charge_storage_capacity_initial;charge_storage_capacity_final,physical_stability_gate;electrochemical_benefit_gate,after_H-A_pass
8,NHIPEDOT-H-B-lead_nhi_pedot_low_loading-R1-post_cycling,H-B,post-cycling,1,lead_nhi_pedot_low_loading,nhi_pedot_low_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;swelling_fraction;delamination_score;optical_transparency_fraction;eis_1khz_initial_ohm;eis_1khz_final_ohm;charge_storage_capacity_initial;charge_storage_capacity_final,physical_stability_gate;electrochemical_benefit_gate,after_H-A_pass
9,NHIPEDOT-H-B-challenge_nhi_pedot_high_loading-R1-pre_soak,H-B,pre-soak,1,challenge_nhi_pedot_high_loading,nhi_pedot_high_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;swelling_fraction;delamination_score;optical_transparency_fraction;eis_1khz_initial_ohm;eis_1khz_final_ohm;charge_storage_capacity_initial;charge_storage_capacity_final,physical_stability_gate;electrochemical_benefit_gate,after_H-A_pass
10,NHIPEDOT-H-B-challenge_nhi_pedot_high_loading-R1-24hsoak,H-B,24 h soak,1,challenge_nhi_pedot_high_loading,nhi_pedot_high_loading_laminin,hydrogel_laminin_control,date;operator_or_agent;mea_coupon_id;electrode_material;hydrogel_matrix;pedot_pss_loading_fraction;pedot_pss_pre_rinse_protocol;laminin_or_peptide_density;crosslinking_protocol;sterilization_or_aseptic_protocol;medium_name;medium_lot;temperature_c;source_file;swelling_fraction;delamination_score;optical_transparency_fraction;eis_1khz_initial_ohm;eis_1khz_final_ohm;charge_storage_capacity_initial;charge_storage_capacity_final,physical_stability_gate;electrochemical_benefit_gate,after_H-A_pass
