sequence,run_id,article_id,timepoint,replicate,article_role,pedot_pss_loading_fraction,hydrogel_matrix,raw_entries_to_fill,required_blank_fields,placeholder_fields,metadata_to_record,initial_measurements,final_measurements,physical_inspection,acceptance_focus,stop_if
1,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,no_coating_mea_control,0 h,1,matched medium/device control,0,none,19,date;medium_name;medium_lot;temperature_c;pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction;source_file,notes,date;operator_or_agent;mea_coupon_id;electrode_material;medium_name;medium_lot;temperature_c;laminin_or_peptide_density;sterilization_or_aseptic_protocol,pH_initial;osmolality_initial_mOsm_kg;conductivity_initial_mS_cm,pH_final;osmolality_final_mOsm_kg;conductivity_final_mS_cm,visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,baseline pH/osmolality/conductivity drift and visual/physical inspection,"control is unstable or missing, because matched comparisons become invalid"
2,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,no_coating_mea_control,24 h,1,matched medium/device control,0,none,19,date;medium_name;medium_lot;temperature_c;pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction;source_file,notes,date;operator_or_agent;mea_coupon_id;electrode_material;medium_name;medium_lot;temperature_c;laminin_or_peptide_density;sterilization_or_aseptic_protocol,pH_initial;osmolality_initial_mOsm_kg;conductivity_initial_mS_cm,pH_final;osmolality_final_mOsm_kg;conductivity_final_mS_cm,visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,baseline pH/osmolality/conductivity drift and visual/physical inspection,"control is unstable or missing, because matched comparisons become invalid"
3,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,no_coating_mea_control,72 h,1,matched medium/device control,0,none,19,date;medium_name;medium_lot;temperature_c;pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction;source_file,notes,date;operator_or_agent;mea_coupon_id;electrode_material;medium_name;medium_lot;temperature_c;laminin_or_peptide_density;sterilization_or_aseptic_protocol,pH_initial;osmolality_initial_mOsm_kg;conductivity_initial_mS_cm,pH_final;osmolality_final_mOsm_kg;conductivity_final_mS_cm,visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,baseline pH/osmolality/conductivity drift and visual/physical inspection,"control is unstable or missing, because matched comparisons become invalid"
4,NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,hydrogel_laminin_control,0 h,1,soft matrix control,0,alginate_laminin_2pct_wv_caso4_dmem,19,date;medium_lot;pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction;source_file,laminin_or_peptide_density;sterilization_or_aseptic_protocol;medium_name;notes,date;operator_or_agent;mea_coupon_id;electrode_material;medium_name;medium_lot;temperature_c;laminin_or_peptide_density;sterilization_or_aseptic_protocol,pH_initial;osmolality_initial_mOsm_kg;conductivity_initial_mS_cm,pH_final;osmolality_final_mOsm_kg;conductivity_final_mS_cm,visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"matrix-only medium drift, swelling, delamination, and transparency versus no-coating control","hydrogel-only matrix fails, because PEDOT interpretation becomes confounded"
5,NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,hydrogel_laminin_control,24 h,1,soft matrix control,0,alginate_laminin_2pct_wv_caso4_dmem,19,date;medium_lot;pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction;source_file,laminin_or_peptide_density;sterilization_or_aseptic_protocol;medium_name;notes,date;operator_or_agent;mea_coupon_id;electrode_material;medium_name;medium_lot;temperature_c;laminin_or_peptide_density;sterilization_or_aseptic_protocol,pH_initial;osmolality_initial_mOsm_kg;conductivity_initial_mS_cm,pH_final;osmolality_final_mOsm_kg;conductivity_final_mS_cm,visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"matrix-only medium drift, swelling, delamination, and transparency versus no-coating control","hydrogel-only matrix fails, because PEDOT interpretation becomes confounded"
6,NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h,hydrogel_laminin_control,72 h,1,soft matrix control,0,alginate_laminin_2pct_wv_caso4_dmem,19,date;medium_lot;pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction;source_file,laminin_or_peptide_density;sterilization_or_aseptic_protocol;medium_name;notes,date;operator_or_agent;mea_coupon_id;electrode_material;medium_name;medium_lot;temperature_c;laminin_or_peptide_density;sterilization_or_aseptic_protocol,pH_initial;osmolality_initial_mOsm_kg;conductivity_initial_mS_cm,pH_final;osmolality_final_mOsm_kg;conductivity_final_mS_cm,visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"matrix-only medium drift, swelling, delamination, and transparency versus no-coating control","hydrogel-only matrix fails, because PEDOT interpretation becomes confounded"
7,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,lead_nhi_pedot_low_loading,0 h,1,0.6 wt percent PEDOT:PSS lead,0.006,alginate_laminin_2pct_wv_caso4_dmem_pedotpss,19,date;medium_lot;pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction;source_file,laminin_or_peptide_density;sterilization_or_aseptic_protocol;medium_name;notes,date;operator_or_agent;mea_coupon_id;electrode_material;medium_name;medium_lot;temperature_c;laminin_or_peptide_density;sterilization_or_aseptic_protocol,pH_initial;osmolality_initial_mOsm_kg;conductivity_initial_mS_cm,pH_final;osmolality_final_mOsm_kg;conductivity_final_mS_cm,visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"lead medium drift <= controls plus no shedding, swelling <=0.20, delamination <=0.5, transparency >=0.80","lead shows pH drift >0.10 vs control, osmolality/conductivity drift >5%, shedding, swelling >0.20, delamination >0.5, or transparency <0.80"
8,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,lead_nhi_pedot_low_loading,24 h,1,0.6 wt percent PEDOT:PSS lead,0.006,alginate_laminin_2pct_wv_caso4_dmem_pedotpss,19,date;medium_lot;pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction;source_file,laminin_or_peptide_density;sterilization_or_aseptic_protocol;medium_name;notes,date;operator_or_agent;mea_coupon_id;electrode_material;medium_name;medium_lot;temperature_c;laminin_or_peptide_density;sterilization_or_aseptic_protocol,pH_initial;osmolality_initial_mOsm_kg;conductivity_initial_mS_cm,pH_final;osmolality_final_mOsm_kg;conductivity_final_mS_cm,visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"lead medium drift <= controls plus no shedding, swelling <=0.20, delamination <=0.5, transparency >=0.80","lead shows pH drift >0.10 vs control, osmolality/conductivity drift >5%, shedding, swelling >0.20, delamination >0.5, or transparency <0.80"
9,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h,lead_nhi_pedot_low_loading,72 h,1,0.6 wt percent PEDOT:PSS lead,0.006,alginate_laminin_2pct_wv_caso4_dmem_pedotpss,19,date;medium_lot;pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction;source_file,laminin_or_peptide_density;sterilization_or_aseptic_protocol;medium_name;notes,date;operator_or_agent;mea_coupon_id;electrode_material;medium_name;medium_lot;temperature_c;laminin_or_peptide_density;sterilization_or_aseptic_protocol,pH_initial;osmolality_initial_mOsm_kg;conductivity_initial_mS_cm,pH_final;osmolality_final_mOsm_kg;conductivity_final_mS_cm,visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"lead medium drift <= controls plus no shedding, swelling <=0.20, delamination <=0.5, transparency >=0.80","lead shows pH drift >0.10 vs control, osmolality/conductivity drift >5%, shedding, swelling >0.20, delamination >0.5, or transparency <0.80"
10,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,challenge_nhi_pedot_high_loading,0 h,1,1.2 wt percent PEDOT:PSS boundary comparator,0.012,alginate_laminin_2pct_wv_caso4_dmem_pedotpss,19,date;medium_lot;pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction;source_file,laminin_or_peptide_density;sterilization_or_aseptic_protocol;medium_name;notes,date;operator_or_agent;mea_coupon_id;electrode_material;medium_name;medium_lot;temperature_c;laminin_or_peptide_density;sterilization_or_aseptic_protocol,pH_initial;osmolality_initial_mOsm_kg;conductivity_initial_mS_cm,pH_final;osmolality_final_mOsm_kg;conductivity_final_mS_cm,visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,upper-loading boundary; failures constrain dose-response but do not stop lead if lead passes,treat challenge as boundary only if it fails; do not promote to H-C
