run_id,sample_event,target_field,value,unit,measured_at,operator_or_agent,instrument_id,source_file,notes
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,initial,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,final,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,initial,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,final,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-72h,initial,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-72h,final,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,initial,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,final,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,initial,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,final,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h,initial,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h,final,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,initial,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,final,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,initial,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,final,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h,initial,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h,final,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,initial,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,final,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,initial,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,final,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h,initial,osmolality,,mOsm/kg,,,,,
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h,final,osmolality,,mOsm/kg,,,,,
