role,candidate_id,vendor_name,source_path,archive_path,source_exists,source_bytes,source_sha256,expected_sha256,sha256_match,required,errors
dispatch_manifest_report,,,reports/nhi_pedot_h_a_rfq_dispatch_manifest.md,00_manifest/nhi_pedot_h_a_rfq_dispatch_manifest.md,true,5070,70ebe8c9466453e166520888361332c2cd848c452a521b9b313e8184f927f4c1,,true,true,
dispatch_manifest_csv,,,data/nhi_pedot_h_a_rfq_dispatch_manifest.csv,00_manifest/nhi_pedot_h_a_rfq_dispatch_manifest.csv,true,6977,28c77e905e54d07f94e409eb851d347d42b7215900a0657f377d06a46b459d04,,true,true,
send_cockpit_html,,,reports/nhi_pedot_h_a_rfq_send_cockpit.html,00_manifest/nhi_pedot_h_a_rfq_send_cockpit.html,true,24965,c85e1ff64b3b14368d81f1977e7f9944710572f6f3651130c4d601a354bab8d4,,true,true,
send_cockpit_report,,,reports/nhi_pedot_h_a_rfq_send_cockpit.md,00_manifest/nhi_pedot_h_a_rfq_send_cockpit.md,true,3095,1d5a52fa146011743fa7dfc73ecaf2351749c6f63247fe1ba51a5754190abfe3,,true,true,
send_action_pack,,,reports/nhi_pedot_h_a_rfq_send_action_pack.md,00_manifest/nhi_pedot_h_a_rfq_send_action_pack.md,true,5510,1681dcf763918ed61803dfcee01853bf11dca87cc212890f9548b910a0a5d58d,,true,true,
eml_integrity_audit,,,reports/nhi_pedot_h_a_rfq_eml_integrity_audit.md,00_manifest/nhi_pedot_h_a_rfq_eml_integrity_audit.md,true,1015,b585f59a1ba53286403559ebf843244057ff9f0f8870e8becc841509b0420638,,true,true,
contact_source_audit,,,reports/nhi_pedot_h_a_vendor_contact_source_audit.md,00_manifest/nhi_pedot_h_a_vendor_contact_source_audit.md,true,1237,6e08490a6aa73007d5788d7772370795c81196af2e5f1b52c9b51b4f1d398be1,,true,true,
contact_source_proofs,,,data/nhi_pedot_h_a_vendor_contact_source_proofs.csv,00_manifest/nhi_pedot_h_a_vendor_contact_source_proofs.csv,true,2441,f777e8f0bd207f49872d5c29ca30a764ea1822970a0f7f1141941b4999132b03,,true,true,
confirmation_entry_sheet,,,reports/nhi_pedot_h_a_rfq_send_confirmation_entry_sheet.md,00_manifest/nhi_pedot_h_a_rfq_send_confirmation_entry_sheet.md,true,1771,ada08adc085f04f8ca1fd3f38de02ceee776c7f1a4343e68789dd906ba1cee15,,true,true,
confirmation_entry_apply,,,reports/nhi_pedot_h_a_rfq_send_confirmation_entry_apply.md,00_manifest/nhi_pedot_h_a_rfq_send_confirmation_entry_apply.md,true,597,427bf4775c8add41766731f4e03b1dd9ad3a583294aed5de71e090d6e78a9872,,true,true,
vendor_eml_draft,materials_metric,Materials Metric,data/nhi_pedot_h_a_rfq_outbox/eml_drafts/materials_metric_rfq_draft.eml,vendors/1_materials_metric/draft/materials_metric_rfq_draft.eml,true,52234,b20d27e34c986c9b45e1cea094dffe9cb0ae102c5c43fae1c8e6ddcf81ccf265,b20d27e34c986c9b45e1cea094dffe9cb0ae102c5c43fae1c8e6ddcf81ccf265,true,true,
vendor_bundle,materials_metric,Materials Metric,data/nhi_pedot_h_a_rfq_outbox/vendor_packages/materials_metric_nhi_pedot_h_a_rfq_bundle.zip,vendors/1_materials_metric/bundle/materials_metric_nhi_pedot_h_a_rfq_bundle.zip,true,36253,6799fdef01396d5ed999a13a4de131bf1d490719369c0e4b90f81c7c73cd9d35,6799fdef01396d5ed999a13a4de131bf1d490719369c0e4b90f81c7c73cd9d35,true,true,
send_confirmation_template,materials_metric,Materials Metric,data/rfq_send_confirmation_templates/h_a/materials_metric_send_confirmation_template.md,vendors/1_materials_metric/confirmation/materials_metric_send_confirmation_template.md,true,1395,a89b087cc035c4c11d086af2c0f1d66096d46d289a13087d78aa485a3aa59981,,true,true,
vendor_eml_draft,the_osmolality_lab,The Osmolality Lab,data/nhi_pedot_h_a_rfq_outbox/eml_drafts/the_osmolality_lab_rfq_draft.eml,vendors/2_the_osmolality_lab/draft/the_osmolality_lab_rfq_draft.eml,true,52279,f3a9108c7580672eda874b87b5d3b7e8e52a8697c034b23b91c7e97e4a70149e,f3a9108c7580672eda874b87b5d3b7e8e52a8697c034b23b91c7e97e4a70149e,true,true,
vendor_bundle,the_osmolality_lab,The Osmolality Lab,data/nhi_pedot_h_a_rfq_outbox/vendor_packages/the_osmolality_lab_nhi_pedot_h_a_rfq_bundle.zip,vendors/2_the_osmolality_lab/bundle/the_osmolality_lab_nhi_pedot_h_a_rfq_bundle.zip,true,36279,b89d68822a7e42b1d387d3b239b6cee86140d3b188e1a3ae14e92792094c023a,b89d68822a7e42b1d387d3b239b6cee86140d3b188e1a3ae14e92792094c023a,true,true,
send_confirmation_template,the_osmolality_lab,The Osmolality Lab,data/rfq_send_confirmation_templates/h_a/the_osmolality_lab_send_confirmation_template.md,vendors/2_the_osmolality_lab/confirmation/the_osmolality_lab_send_confirmation_template.md,true,1387,007298782e7a836b4bd4614638944da2890254d201938febb6e7b295703a18ed,,true,true,
vendor_eml_draft,cambridge_polymer_group_hydrogel,Cambridge Polymer Group,data/nhi_pedot_h_a_rfq_outbox/eml_drafts/cambridge_polymer_group_hydrogel_rfq_draft.eml,vendors/3_cambridge_polymer_group_hydrogel/draft/cambridge_polymer_group_hydrogel_rfq_draft.eml,true,52559,2e6218e69068de0c0306d900194399dc909d5d6161a91165d1fa01ffa2e5cd59,2e6218e69068de0c0306d900194399dc909d5d6161a91165d1fa01ffa2e5cd59,true,true,
vendor_bundle,cambridge_polymer_group_hydrogel,Cambridge Polymer Group,data/nhi_pedot_h_a_rfq_outbox/vendor_packages/cambridge_polymer_group_hydrogel_nhi_pedot_h_a_rfq_bundle.zip,vendors/3_cambridge_polymer_group_hydrogel/bundle/cambridge_polymer_group_hydrogel_nhi_pedot_h_a_rfq_bundle.zip,true,36349,bad885c9487cfc4e33c6abda168421232f8da5b1fc2a6698b4d129453d7811a1,bad885c9487cfc4e33c6abda168421232f8da5b1fc2a6698b4d129453d7811a1,true,true,
send_confirmation_template,cambridge_polymer_group_hydrogel,Cambridge Polymer Group,data/rfq_send_confirmation_templates/h_a/cambridge_polymer_group_hydrogel_send_confirmation_template.md,vendors/3_cambridge_polymer_group_hydrogel/confirmation/cambridge_polymer_group_hydrogel_send_confirmation_template.md,true,1440,fe73349c7556e60834f9b952fb092d1c5f9938fb80940de9ed8a6fa7254d4498,,true,true,
vendor_eml_draft,sigmaaldrich_media_testing,MilliporeSigma Cell Culture Media Stability and Testing Services,data/nhi_pedot_h_a_rfq_outbox/eml_drafts/sigmaaldrich_media_testing_rfq_draft.eml,vendors/4_sigmaaldrich_media_testing/draft/sigmaaldrich_media_testing_rfq_draft.eml,true,52565,bdd950ff0b9a5f45cdfe574dfea68fdd97f911376abdf2eb9882e44e6b03fdac,bdd950ff0b9a5f45cdfe574dfea68fdd97f911376abdf2eb9882e44e6b03fdac,true,true,
