run_id,date,operator_or_agent,phase,timepoint,replicate,article_id,variant_id,control_article_id,mea_coupon_id,electrode_material,hydrogel_matrix,hydrogel_modulus_kpa,hydrogel_thickness_um,pedot_pss_loading_fraction,pedot_pss_pre_rinse_protocol,laminin_or_peptide_density,crosslinking_protocol,sterilization_or_aseptic_protocol,medium_name,medium_lot,temperature_c,pH_initial,pH_final,osmolality_initial_mOsm_kg,osmolality_final_mOsm_kg,conductivity_initial_mS_cm,conductivity_final_mS_cm,visible_precipitate,visible_shedding,swelling_fraction,delamination_score,optical_transparency_fraction,eis_1khz_initial_ohm,eis_1khz_final_ohm,charge_storage_capacity_initial,charge_storage_capacity_final,cell_model,seeding_density,viability_fraction,ldh_fold_control,neurite_coverage_fraction,mean_neurite_length_um,electrode_yield_fraction,spike_rate_hz,burst_rate_hz,gate_results,source_file,notes
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,,limina,H-A,0 h,1,challenge_nhi_pedot_high_loading,nhi_pedot_high_loading_laminin,hydrogel_laminin_control,,,alginate_laminin_2pct_wv_caso4_dmem_pedotpss,,400,0.012,overnight_medium_conditioning_before_measurement,ehs_laminin_same_as_control_record_lot,183mM_CaSO4_in_1x_DMEM_syringe_mix_cast_1h_gelation,aseptic_preparation_record_lot_and_handling,DMEM_F12_or_CL1_proxy_record_actual,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,nhi_pedot_h_a_sentinel_pending_real_measurement;nhi_pedot_alg_lam_lowdose_recipe_lock_v0_2
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,,limina,H-A,24 h,1,challenge_nhi_pedot_high_loading,nhi_pedot_high_loading_laminin,hydrogel_laminin_control,,,alginate_laminin_2pct_wv_caso4_dmem_pedotpss,,400,0.012,overnight_medium_conditioning_before_measurement,ehs_laminin_same_as_control_record_lot,183mM_CaSO4_in_1x_DMEM_syringe_mix_cast_1h_gelation,aseptic_preparation_record_lot_and_handling,DMEM_F12_or_CL1_proxy_record_actual,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,nhi_pedot_h_a_sentinel_pending_real_measurement;nhi_pedot_alg_lam_lowdose_recipe_lock_v0_2
NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h,,limina,H-A,72 h,1,challenge_nhi_pedot_high_loading,nhi_pedot_high_loading_laminin,hydrogel_laminin_control,,,alginate_laminin_2pct_wv_caso4_dmem_pedotpss,,400,0.012,overnight_medium_conditioning_before_measurement,ehs_laminin_same_as_control_record_lot,183mM_CaSO4_in_1x_DMEM_syringe_mix_cast_1h_gelation,aseptic_preparation_record_lot_and_handling,DMEM_F12_or_CL1_proxy_record_actual,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,nhi_pedot_h_a_sentinel_pending_real_measurement;nhi_pedot_alg_lam_lowdose_recipe_lock_v0_2
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,,limina,H-A,0 h,1,hydrogel_laminin_control,hydrogel_laminin_no_pedot,hydrogel_laminin_control,,,alginate_laminin_2pct_wv_caso4_dmem,,400,0,not_applicable_no_pedot,ehs_laminin_same_as_lead_record_lot,183mM_CaSO4_in_1x_DMEM_syringe_mix_cast_1h_gelation,aseptic_preparation_record_lot_and_handling,DMEM_F12_or_CL1_proxy_record_actual,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,nhi_pedot_h_a_sentinel_pending_real_measurement;nhi_pedot_alg_lam_lowdose_recipe_lock_v0_2
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,,limina,H-A,24 h,1,hydrogel_laminin_control,hydrogel_laminin_no_pedot,hydrogel_laminin_control,,,alginate_laminin_2pct_wv_caso4_dmem,,400,0,not_applicable_no_pedot,ehs_laminin_same_as_lead_record_lot,183mM_CaSO4_in_1x_DMEM_syringe_mix_cast_1h_gelation,aseptic_preparation_record_lot_and_handling,DMEM_F12_or_CL1_proxy_record_actual,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,nhi_pedot_h_a_sentinel_pending_real_measurement;nhi_pedot_alg_lam_lowdose_recipe_lock_v0_2
NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h,,limina,H-A,72 h,1,hydrogel_laminin_control,hydrogel_laminin_no_pedot,hydrogel_laminin_control,,,alginate_laminin_2pct_wv_caso4_dmem,,400,0,not_applicable_no_pedot,ehs_laminin_same_as_lead_record_lot,183mM_CaSO4_in_1x_DMEM_syringe_mix_cast_1h_gelation,aseptic_preparation_record_lot_and_handling,DMEM_F12_or_CL1_proxy_record_actual,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,nhi_pedot_h_a_sentinel_pending_real_measurement;nhi_pedot_alg_lam_lowdose_recipe_lock_v0_2
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,,limina,H-A,0 h,1,lead_nhi_pedot_low_loading,nhi_pedot_low_loading_laminin,hydrogel_laminin_control,,,alginate_laminin_2pct_wv_caso4_dmem_pedotpss,,400,0.006,overnight_medium_conditioning_before_measurement,ehs_laminin_same_as_control_record_lot,183mM_CaSO4_in_1x_DMEM_syringe_mix_cast_1h_gelation,aseptic_preparation_record_lot_and_handling,DMEM_F12_or_CL1_proxy_record_actual,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,nhi_pedot_h_a_sentinel_pending_real_measurement;nhi_pedot_alg_lam_lowdose_recipe_lock_v0_2
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,,limina,H-A,24 h,1,lead_nhi_pedot_low_loading,nhi_pedot_low_loading_laminin,hydrogel_laminin_control,,,alginate_laminin_2pct_wv_caso4_dmem_pedotpss,,400,0.006,overnight_medium_conditioning_before_measurement,ehs_laminin_same_as_control_record_lot,183mM_CaSO4_in_1x_DMEM_syringe_mix_cast_1h_gelation,aseptic_preparation_record_lot_and_handling,DMEM_F12_or_CL1_proxy_record_actual,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,nhi_pedot_h_a_sentinel_pending_real_measurement;nhi_pedot_alg_lam_lowdose_recipe_lock_v0_2
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h,,limina,H-A,72 h,1,lead_nhi_pedot_low_loading,nhi_pedot_low_loading_laminin,hydrogel_laminin_control,,,alginate_laminin_2pct_wv_caso4_dmem_pedotpss,,400,0.006,overnight_medium_conditioning_before_measurement,ehs_laminin_same_as_control_record_lot,183mM_CaSO4_in_1x_DMEM_syringe_mix_cast_1h_gelation,aseptic_preparation_record_lot_and_handling,DMEM_F12_or_CL1_proxy_record_actual,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,nhi_pedot_h_a_sentinel_pending_real_measurement;nhi_pedot_alg_lam_lowdose_recipe_lock_v0_2
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,,limina,H-A,0 h,1,no_coating_mea_control,,no_coating_mea_control,,,none,,,0,,standard_control_or_none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nhi_pedot_h_a_sentinel_pending_real_measurement;nhi_pedot_alg_lam_lowdose_recipe_lock_v0_2
