sample_id,run_id,article_id,timepoint,sample_event,replicate,planned_container_id,condition,storage_handling_notes,contents_note,required_readouts
NHIPEDOT-H-A-no_coating_mea_control-R1-0h-initial,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,no_coating_mea_control,0 h,initial,1,H-A-01-NO-COATING-MEA-CON-0-H-INITIAL,matched medium/device control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-no_coating_mea_control-R1-0h-final,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,no_coating_mea_control,0 h,final,1,H-A-02-NO-COATING-MEA-CON-0-H-FINAL,matched medium/device control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-no_coating_mea_control-R1-0h-physical_inspection,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,no_coating_mea_control,0 h,physical_inspection,1,H-A-03-NO-COATING-MEA-CON-0-H-PHYSICAL-INS,matched medium/device control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-no_coating_mea_control-R1-24h-initial,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,no_coating_mea_control,24 h,initial,1,H-A-04-NO-COATING-MEA-CON-24-H-INITIAL,matched medium/device control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-no_coating_mea_control-R1-24h-final,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,no_coating_mea_control,24 h,final,1,H-A-05-NO-COATING-MEA-CON-24-H-FINAL,matched medium/device control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-no_coating_mea_control-R1-24h-physical_inspection,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,no_coating_mea_control,24 h,physical_inspection,1,H-A-06-NO-COATING-MEA-CON-24-H-PHYSICAL-INS,matched medium/device control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-no_coating_mea_control-R1-72h-initial,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,no_coating_mea_control,72 h,initial,1,H-A-07-NO-COATING-MEA-CON-72-H-INITIAL,matched medium/device control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-no_coating_mea_control-R1-72h-final,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,no_coating_mea_control,72 h,final,1,H-A-08-NO-COATING-MEA-CON-72-H-FINAL,matched medium/device control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-no_coating_mea_control-R1-72h-physical_inspection,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,no_coating_mea_control,72 h,physical_inspection,1,H-A-09-NO-COATING-MEA-CON-72-H-PHYSICAL-INS,matched medium/device control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h-initial,NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,hydrogel_laminin_control,0 h,initial,1,H-A-10-HYDROGEL-LAMININ-C-0-H-INITIAL,soft matrix control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h-final,NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,hydrogel_laminin_control,0 h,final,1,H-A-11-HYDROGEL-LAMININ-C-0-H-FINAL,soft matrix control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h-physical_inspection,NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,hydrogel_laminin_control,0 h,physical_inspection,1,H-A-12-HYDROGEL-LAMININ-C-0-H-PHYSICAL-INS,soft matrix control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h-initial,NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,hydrogel_laminin_control,24 h,initial,1,H-A-13-HYDROGEL-LAMININ-C-24-H-INITIAL,soft matrix control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h-final,NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,hydrogel_laminin_control,24 h,final,1,H-A-14-HYDROGEL-LAMININ-C-24-H-FINAL,soft matrix control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h-physical_inspection,NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,hydrogel_laminin_control,24 h,physical_inspection,1,H-A-15-HYDROGEL-LAMININ-C-24-H-PHYSICAL-INS,soft matrix control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h-initial,NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h,hydrogel_laminin_control,72 h,initial,1,H-A-16-HYDROGEL-LAMININ-C-72-H-INITIAL,soft matrix control,"Keep sample identity and timepoint separated; record actual storage, transfer, and receipt conditions before entering measurements.",nonclinical R&D acellular medium/coupon sample; no live cells,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
