sample_id,run_id,sample_event,phase,timepoint,replicate,article_id,readouts,handoff_notes
NHIPEDOT-H-A-no_coating_mea_control-R1-0h-initial,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,initial,H-A,0 h,1,no_coating_mea_control,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"record coupon/well id, image before and after soak, then enter numeric fields in template"
NHIPEDOT-H-A-no_coating_mea_control-R1-0h-final,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,final,H-A,0 h,1,no_coating_mea_control,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"record coupon/well id, image before and after soak, then enter numeric fields in template"
NHIPEDOT-H-A-no_coating_mea_control-R1-0h-physical_inspection,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,physical_inspection,H-A,0 h,1,no_coating_mea_control,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"record coupon/well id, image before and after soak, then enter numeric fields in template"
NHIPEDOT-H-A-no_coating_mea_control-R1-24h-initial,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,initial,H-A,24 h,1,no_coating_mea_control,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"record coupon/well id, image before and after soak, then enter numeric fields in template"
NHIPEDOT-H-A-no_coating_mea_control-R1-24h-final,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,final,H-A,24 h,1,no_coating_mea_control,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"record coupon/well id, image before and after soak, then enter numeric fields in template"
NHIPEDOT-H-A-no_coating_mea_control-R1-24h-physical_inspection,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,physical_inspection,H-A,24 h,1,no_coating_mea_control,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"record coupon/well id, image before and after soak, then enter numeric fields in template"
NHIPEDOT-H-A-no_coating_mea_control-R1-72h-initial,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,initial,H-A,72 h,1,no_coating_mea_control,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"record coupon/well id, image before and after soak, then enter numeric fields in template"
NHIPEDOT-H-A-no_coating_mea_control-R1-72h-final,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,final,H-A,72 h,1,no_coating_mea_control,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"record coupon/well id, image before and after soak, then enter numeric fields in template"
NHIPEDOT-H-A-no_coating_mea_control-R1-72h-physical_inspection,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,physical_inspection,H-A,72 h,1,no_coating_mea_control,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"record coupon/well id, image before and after soak, then enter numeric fields in template"
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h-initial,NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,initial,H-A,0 h,1,hydrogel_laminin_control,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"record coupon/well id, image before and after soak, then enter numeric fields in template"
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h-final,NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,final,H-A,0 h,1,hydrogel_laminin_control,pH;osmolality;conductivity;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction,"record coupon/well id, image before and after soak, then enter numeric fields in template"
