run_id,sample_event,target_field,value,unit,measured_at,operator_or_agent,instrument_id,source_file,notes
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,date,,,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,medium_name,,,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,medium_lot,,,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,temperature_c,,C,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,mea_coupon_id,,,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,electrode_material,,,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,laminin_or_peptide_density,,,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata,sterilization_or_aseptic_protocol,,,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,initial,pH,,pH,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,initial,conductivity,,mS/cm,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,final,pH,,pH,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,final,conductivity,,mS/cm,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,physical_inspection,visible_precipitate,,bool,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,physical_inspection,visible_shedding,,bool,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,physical_inspection,swelling_fraction,,fraction,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,physical_inspection,delamination_score,,score,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-0h,physical_inspection,optical_transparency_fraction,,fraction,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,metadata,date,,,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,metadata,medium_name,,,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,metadata,medium_lot,,,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,metadata,temperature_c,,C,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,metadata,mea_coupon_id,,,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,metadata,electrode_material,,,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,metadata,laminin_or_peptide_density,,,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,metadata,sterilization_or_aseptic_protocol,,,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,initial,pH,,pH,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,initial,conductivity,,mS/cm,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,final,pH,,pH,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,final,conductivity,,mS/cm,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,physical_inspection,visible_precipitate,,bool,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,physical_inspection,visible_shedding,,bool,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,physical_inspection,swelling_fraction,,fraction,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,physical_inspection,delamination_score,,score,,,,,
NHIPEDOT-H-A-no_coating_mea_control-R1-24h,physical_inspection,optical_transparency_fraction,,fraction,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,metadata,date,,,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,metadata,medium_name,,,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,metadata,medium_lot,,,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,metadata,temperature_c,,C,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,metadata,mea_coupon_id,,,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,metadata,electrode_material,,,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,metadata,laminin_or_peptide_density,,,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,metadata,sterilization_or_aseptic_protocol,,,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,initial,pH,,pH,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,initial,conductivity,,mS/cm,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,final,pH,,pH,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,final,conductivity,,mS/cm,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,physical_inspection,visible_precipitate,,bool,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,physical_inspection,visible_shedding,,bool,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,physical_inspection,swelling_fraction,,fraction,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,physical_inspection,delamination_score,,score,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,physical_inspection,optical_transparency_fraction,,fraction,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,metadata,date,,,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,metadata,medium_name,,,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,metadata,medium_lot,,,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,metadata,temperature_c,,C,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,metadata,mea_coupon_id,,,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,metadata,electrode_material,,,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,metadata,laminin_or_peptide_density,,,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,metadata,sterilization_or_aseptic_protocol,,,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,initial,pH,,pH,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,initial,conductivity,,mS/cm,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,final,pH,,pH,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,final,conductivity,,mS/cm,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,physical_inspection,visible_precipitate,,bool,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,physical_inspection,visible_shedding,,bool,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,physical_inspection,swelling_fraction,,fraction,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,physical_inspection,delamination_score,,score,,,,,
NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,physical_inspection,optical_transparency_fraction,,fraction,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,metadata,date,,,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,metadata,medium_name,,,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,metadata,medium_lot,,,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,metadata,temperature_c,,C,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,metadata,mea_coupon_id,,,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,metadata,electrode_material,,,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,metadata,laminin_or_peptide_density,,,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,metadata,sterilization_or_aseptic_protocol,,,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,initial,pH,,pH,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,initial,conductivity,,mS/cm,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,final,pH,,pH,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,final,conductivity,,mS/cm,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,physical_inspection,visible_precipitate,,bool,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,physical_inspection,visible_shedding,,bool,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,physical_inspection,swelling_fraction,,fraction,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,physical_inspection,delamination_score,,score,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,physical_inspection,optical_transparency_fraction,,fraction,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,date,,,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,medium_name,,,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,medium_lot,,,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,temperature_c,,C,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,mea_coupon_id,,,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,electrode_material,,,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,laminin_or_peptide_density,,,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,metadata,sterilization_or_aseptic_protocol,,,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,initial,pH,,pH,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,initial,conductivity,,mS/cm,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,final,pH,,pH,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,final,conductivity,,mS/cm,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,physical_inspection,visible_precipitate,,bool,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,physical_inspection,visible_shedding,,bool,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,physical_inspection,swelling_fraction,,fraction,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,physical_inspection,delamination_score,,score,,,,,
NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,physical_inspection,optical_transparency_fraction,,fraction,,,,,
