priority,run_id,phase,timepoint,replicate,article_id,variant_id,readout_groups,recommendation_reason,must_have_fields
1,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,H-A,0 h,1,no_coating_mea_control,,medium_integrity;physical_stability,phase_h_a_sentinel_no_measured_rows,pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
2,NHIPEDOT-H-A-no_coating_mea_control-R1-24h,H-A,24 h,1,no_coating_mea_control,,medium_integrity;physical_stability,phase_h_a_sentinel_no_measured_rows,pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
3,NHIPEDOT-H-A-no_coating_mea_control-R1-72h,H-A,72 h,1,no_coating_mea_control,,medium_integrity;physical_stability,phase_h_a_sentinel_no_measured_rows,pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
4,NHIPEDOT-H-A-hydrogel_laminin_control-R1-0h,H-A,0 h,1,hydrogel_laminin_control,hydrogel_laminin_no_pedot,medium_integrity;physical_stability,phase_h_a_sentinel_no_measured_rows,pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
5,NHIPEDOT-H-A-hydrogel_laminin_control-R1-24h,H-A,24 h,1,hydrogel_laminin_control,hydrogel_laminin_no_pedot,medium_integrity;physical_stability,phase_h_a_sentinel_no_measured_rows,pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
6,NHIPEDOT-H-A-hydrogel_laminin_control-R1-72h,H-A,72 h,1,hydrogel_laminin_control,hydrogel_laminin_no_pedot,medium_integrity;physical_stability,phase_h_a_sentinel_no_measured_rows,pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
7,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-0h,H-A,0 h,1,lead_nhi_pedot_low_loading,nhi_pedot_low_loading_laminin,medium_integrity;physical_stability,phase_h_a_sentinel_no_measured_rows,pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
8,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-24h,H-A,24 h,1,lead_nhi_pedot_low_loading,nhi_pedot_low_loading_laminin,medium_integrity;physical_stability,phase_h_a_sentinel_no_measured_rows,pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
9,NHIPEDOT-H-A-lead_nhi_pedot_low_loading-R1-72h,H-A,72 h,1,lead_nhi_pedot_low_loading,nhi_pedot_low_loading_laminin,medium_integrity;physical_stability,phase_h_a_sentinel_no_measured_rows,pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
10,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,H-A,0 h,1,challenge_nhi_pedot_high_loading,nhi_pedot_high_loading_laminin,medium_integrity;physical_stability,phase_h_a_sentinel_no_measured_rows,pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
11,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,H-A,24 h,1,challenge_nhi_pedot_high_loading,nhi_pedot_high_loading_laminin,medium_integrity;physical_stability,phase_h_a_sentinel_no_measured_rows,pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
12,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-72h,H-A,72 h,1,challenge_nhi_pedot_high_loading,nhi_pedot_high_loading_laminin,medium_integrity;physical_stability,phase_h_a_sentinel_no_measured_rows,pH_initial;pH_final;osmolality_initial_mOsm_kg;osmolality_final_mOsm_kg;conductivity_initial_mS_cm;conductivity_final_mS_cm;visible_precipitate;visible_shedding;swelling_fraction;delamination_score;optical_transparency_fraction
