queue_order,run_id,phase,timepoint,replicate,article_id,variant_id,gate_role,readout_groups,must_have_fields,matched_control_key
1,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,baseline_snapshot,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|0 h|1
2,ZRCND-A-baseline_rc_3p5m_guard-R1-1h,A,1 h,1,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|1 h|1
3,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,A,24 h,1,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|24 h|1
4,ZRCND-A-baseline_rc_3p5m_guard-R1-4h,A,4 h,1,baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|4 h|1
5,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,A,0 h,1,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,baseline_snapshot,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|0 h|1
6,ZRCND-A-challenge_zrc_nd_10m_guard-R1-1h,A,1 h,1,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|1 h|1
7,ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h,A,24 h,1,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|24 h|1
8,ZRCND-A-challenge_zrc_nd_10m_guard-R1-4h,A,4 h,1,challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|4 h|1
9,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h,A,0 h,1,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,baseline_snapshot,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|0 h|1
10,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-1h,A,1 h,1,lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,gate_evaluable,medium_integrity,conductivity_final_mS_cm;conductivity_initial_mS_cm;date;exposure_time_h;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;operator_or_agent;osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg;pH_final;pH_initial;prefilter_lot;temperature_c;visible_precipitate,A|1 h|1
