chain_id,sample_id,run_id,article_id,phase,timepoint,sample_event,replicate,planned_container_id,prepared_by,prepared_at,module_or_tube_id,membrane_lot,prefilter_lot,housing_material,medium_name,medium_lot,initial_volume_ml,exposure_started_at,exposure_ended_at,temperature_c,released_by,released_at,carrier_or_transfer_method,received_by,received_at,condition_on_receipt,storage_location,instrument_export_returned,deviation_notes,transfer_status
ZRC-ND-PHASE-A-COC-001,ZRCND-A-baseline_rc_3p5m_guard-R1-0h-initial,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,baseline_rc_3p5m_guard,A,0 h,initial,1,ZRC-A-01-BASELINE-RC-3P5M-GUA-0-H-INITIAL,,,,,,,,,,,,,,,,,,,,,,pending_real_transfer
ZRC-ND-PHASE-A-COC-002,ZRCND-A-baseline_rc_3p5m_guard-R1-0h-final,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,baseline_rc_3p5m_guard,A,0 h,final,1,ZRC-A-02-BASELINE-RC-3P5M-GUA-0-H-FINAL,,,,,,,,,,,,,,,,,,,,,,pending_real_transfer
ZRC-ND-PHASE-A-COC-003,ZRCND-A-baseline_rc_3p5m_guard-R1-24h-initial,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,baseline_rc_3p5m_guard,A,24 h,initial,1,ZRC-A-03-BASELINE-RC-3P5M-GUA-24-H-INITIAL,,,,,,,,,,,,,,,,,,,,,,pending_real_transfer
ZRC-ND-PHASE-A-COC-004,ZRCND-A-baseline_rc_3p5m_guard-R1-24h-final,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,baseline_rc_3p5m_guard,A,24 h,final,1,ZRC-A-04-BASELINE-RC-3P5M-GUA-24-H-FINAL,,,,,,,,,,,,,,,,,,,,,,pending_real_transfer
ZRC-ND-PHASE-A-COC-005,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h-initial,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,challenge_zrc_nd_10m_guard,A,0 h,initial,1,ZRC-A-05-CHALLENGE-ZRC-ND-10M-0-H-INITIAL,,,,,,,,,,,,,,,,,,,,,,pending_real_transfer
ZRC-ND-PHASE-A-COC-006,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h-final,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,challenge_zrc_nd_10m_guard,A,0 h,final,1,ZRC-A-06-CHALLENGE-ZRC-ND-10M-0-H-FINAL,,,,,,,,,,,,,,,,,,,,,,pending_real_transfer
ZRC-ND-PHASE-A-COC-007,ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h-initial,ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h,challenge_zrc_nd_10m_guard,A,24 h,initial,1,ZRC-A-07-CHALLENGE-ZRC-ND-10M-24-H-INITIAL,,,,,,,,,,,,,,,,,,,,,,pending_real_transfer
ZRC-ND-PHASE-A-COC-008,ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h-final,ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h,challenge_zrc_nd_10m_guard,A,24 h,final,1,ZRC-A-08-CHALLENGE-ZRC-ND-10M-24-H-FINAL,,,,,,,,,,,,,,,,,,,,,,pending_real_transfer
ZRC-ND-PHASE-A-COC-009,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h-initial,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h,lead_zrc_nd_3p5m_guard,A,0 h,initial,1,ZRC-A-09-LEAD-ZRC-ND-3P5M-GUA-0-H-INITIAL,,,,,,,,,,,,,,,,,,,,,,pending_real_transfer
ZRC-ND-PHASE-A-COC-010,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h-final,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h,lead_zrc_nd_3p5m_guard,A,0 h,final,1,ZRC-A-10-LEAD-ZRC-ND-3P5M-GUA-0-H-FINAL,,,,,,,,,,,,,,,,,,,,,,pending_real_transfer
ZRC-ND-PHASE-A-COC-011,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h-initial,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h,lead_zrc_nd_3p5m_guard,A,24 h,initial,1,ZRC-A-11-LEAD-ZRC-ND-3P5M-GUA-24-H-INITIAL,,,,,,,,,,,,,,,,,,,,,,pending_real_transfer
