role,candidate_id,vendor_name,source_path,archive_path,source_exists,source_bytes,source_sha256,expected_sha256,sha256_match,required,errors
dispatch_manifest_report,,,reports/zrc_nd_phase_a_rfq_dispatch_manifest.md,00_manifest/zrc_nd_phase_a_rfq_dispatch_manifest.md,true,4159,5c3ef5448f4e0a8519e5be27e5f4cfe1d729bc2f721c692dcd3279f36bb18ef5,,true,true,
dispatch_manifest_csv,,,data/zrc_nd_phase_a_rfq_dispatch_manifest.csv,00_manifest/zrc_nd_phase_a_rfq_dispatch_manifest.csv,true,6981,c2bdd39b88113ffa578a4dfdbb3344620e24fb80f3fb56152690eb0644d18193,,true,true,
rfq_packet_report,,,reports/zrc_nd_phase_a_rfq_packet.md,00_manifest/zrc_nd_phase_a_rfq_packet.md,true,12838,9fa4d19c68cecb0b01c00c7e9425d8ff85cf5990467da6c844ec8bb3a640a847,,true,true,
rfq_outbox_report,,,reports/zrc_nd_phase_a_rfq_outbox.md,00_manifest/zrc_nd_phase_a_rfq_outbox.md,true,2345,aae8515a23bc6b838e547409f17d7355ee9e7e9c5714147cbd8ee2b693e43624,,true,true,
vendor_contact_plan,,,reports/zrc_nd_phase_a_vendor_contact_plan.md,00_manifest/zrc_nd_phase_a_vendor_contact_plan.md,true,6694,3a3de74fcd3ca3de37d42df6f3016428534d42e9fa845e7c0938a0c74330d0af,,true,true,
service_request,,,reports/zrc_nd_phase_a_service_request.md,00_manifest/zrc_nd_phase_a_service_request.md,true,5958,b238fae53a65e6d622ffc7f374844e734db75af1e991a0ff9004c980a889ae36,,true,true,
chain_of_custody,,,reports/zrc_nd_phase_a_chain_of_custody.md,00_manifest/zrc_nd_phase_a_chain_of_custody.md,true,3921,956241196106ba96d35ebbaa0f69cbf6f39c9f5b1924712813f7f5ab73ef2bd8,,true,true,
delivery_package,,,reports/zrc_nd_phase_a_delivery_package_manifest.md,00_manifest/zrc_nd_phase_a_delivery_package_manifest.md,true,3771,93cb34a0899c24453d78301c4eed590dbe2da9aa10e1e99b4229d5129d5024fd,,true,true,
confirmation_entry_sheet,,,reports/zrc_nd_phase_a_rfq_send_confirmation_entry_sheet.md,00_manifest/zrc_nd_phase_a_rfq_send_confirmation_entry_sheet.md,true,1873,50455443fcdc146348c089bfc2a6320880a7316ee61c4c3521f7696cae8df50e,,true,true,
confirmation_entry_apply,,,reports/zrc_nd_phase_a_rfq_send_confirmation_entry_apply.md,00_manifest/zrc_nd_phase_a_rfq_send_confirmation_entry_apply.md,true,621,aed0071923ddaa3adaa80618d5233313ed001ccea63d3971df3f997a3c36e306,,true,true,
send_log,,,reports/zrc_nd_phase_a_rfq_send_log.md,00_manifest/zrc_nd_phase_a_rfq_send_log.md,true,1167,05d71d28167e87e76715b768d6bc3aba832e4ea1939eb03817d57714445b2f5c,,true,true,
reply_log,,,reports/zrc_nd_phase_a_rfq_reply_log.md,00_manifest/zrc_nd_phase_a_rfq_reply_log.md,true,1397,1954527ace5f89ef46661d73d5945a6a39ab3a8eec32f902b321fbb91bb6d336,,true,true,
vendor_email_text,pacific_biolabs_physicochemical,Pacific BioLabs Physicochemical Properties Testing,data/zrc_nd_phase_a_rfq_outbox/emails/pacific_biolabs_physicochemical_rfq_email.txt,vendors/1_pacific_biolabs_physicochemical/email/pacific_biolabs_physicochemical_rfq_email.txt,true,2598,f6c44fc452cd075d79d4f0096c4d5f32d7d786e8ad1e44fdd63c1c73dfb50950,f6c44fc452cd075d79d4f0096c4d5f32d7d786e8ad1e44fdd63c1c73dfb50950,true,true,
vendor_bundle,pacific_biolabs_physicochemical,Pacific BioLabs Physicochemical Properties Testing,data/zrc_nd_phase_a_rfq_outbox/vendor_packages/pacific_biolabs_physicochemical_zrc_nd_phase_a_rfq_bundle.zip,vendors/1_pacific_biolabs_physicochemical/bundle/pacific_biolabs_physicochemical_zrc_nd_phase_a_rfq_bundle.zip,true,17424,b00499c1a70ec472a11eb8d894c2a463d6cdd3bc3819011aeee203de8980ec3d,b00499c1a70ec472a11eb8d894c2a463d6cdd3bc3819011aeee203de8980ec3d,true,true,
send_confirmation_template,pacific_biolabs_physicochemical,Pacific BioLabs Physicochemical Properties Testing,data/rfq_send_confirmation_templates/zrc_phase_a/pacific_biolabs_physicochemical_send_confirmation_template.md,vendors/1_pacific_biolabs_physicochemical/confirmation/pacific_biolabs_physicochemical_send_confirmation_template.md,true,1262,7995970b14301a06b4e187c0832b5d88406d5193e5ca81391e07aed625347f35,,true,true,
vendor_email_text,sigmaaldrich_media_testing,MilliporeSigma Cell Culture Media Stability and Testing Services,data/zrc_nd_phase_a_rfq_outbox/emails/sigmaaldrich_media_testing_rfq_email.txt,vendors/2_sigmaaldrich_media_testing/email/sigmaaldrich_media_testing_rfq_email.txt,true,2616,becdb378e4e71b2acc3b69f19d3f3b5f313bc221343f0d5f87197f1a93b87ef0,becdb378e4e71b2acc3b69f19d3f3b5f313bc221343f0d5f87197f1a93b87ef0,true,true,
vendor_bundle,sigmaaldrich_media_testing,MilliporeSigma Cell Culture Media Stability and Testing Services,data/zrc_nd_phase_a_rfq_outbox/vendor_packages/sigmaaldrich_media_testing_zrc_nd_phase_a_rfq_bundle.zip,vendors/2_sigmaaldrich_media_testing/bundle/sigmaaldrich_media_testing_zrc_nd_phase_a_rfq_bundle.zip,true,17423,020855375daaa1e6afde37c0d84b3ecffe2ddaadb5ca88e44a02ed842ac3b8d2,020855375daaa1e6afde37c0d84b3ecffe2ddaadb5ca88e44a02ed842ac3b8d2,true,true,
send_confirmation_template,sigmaaldrich_media_testing,MilliporeSigma Cell Culture Media Stability and Testing Services,data/rfq_send_confirmation_templates/zrc_phase_a/sigmaaldrich_media_testing_send_confirmation_template.md,vendors/2_sigmaaldrich_media_testing/confirmation/sigmaaldrich_media_testing_send_confirmation_template.md,true,1264,0839123c84e76ecc45e709b38dfdb2af1cb1845fcd93bf3d0bb7e8e940d3aef7,,true,true,
vendor_email_text,the_osmolality_lab,The Osmolality Lab,data/zrc_nd_phase_a_rfq_outbox/emails/the_osmolality_lab_rfq_email.txt,vendors/3_the_osmolality_lab/email/the_osmolality_lab_rfq_email.txt,true,2449,5b1dcbd4a3ed6c9acde102ef228f0e1da90c535e85beb26fb098bcc35a53e6fd,5b1dcbd4a3ed6c9acde102ef228f0e1da90c535e85beb26fb098bcc35a53e6fd,true,true,
vendor_bundle,the_osmolality_lab,The Osmolality Lab,data/zrc_nd_phase_a_rfq_outbox/vendor_packages/the_osmolality_lab_zrc_nd_phase_a_rfq_bundle.zip,vendors/3_the_osmolality_lab/bundle/the_osmolality_lab_zrc_nd_phase_a_rfq_bundle.zip,true,17359,29125cb54ad2a21b1b161a4ecf22ec430b6c4109d8c208c4bd931a607373406f,29125cb54ad2a21b1b161a4ecf22ec430b6c4109d8c208c4bd931a607373406f,true,true,
send_confirmation_template,the_osmolality_lab,The Osmolality Lab,data/rfq_send_confirmation_templates/zrc_phase_a/the_osmolality_lab_send_confirmation_template.md,vendors/3_the_osmolality_lab/confirmation/the_osmolality_lab_send_confirmation_template.md,true,1166,db0ac04fdb920a4e5f63529a5c1836e6827b1cbe044c7b44efc09cbd77f6494b,,true,true,
vendor_email_text,jordi_labs_el_polymer,Jordi Labs Analytical Testing,data/zrc_nd_phase_a_rfq_outbox/emails/jordi_labs_el_polymer_rfq_email.txt,vendors/4_jordi_labs_el_polymer/email/jordi_labs_el_polymer_rfq_email.txt,true,2489,f7e712f84bf28c998a2a2342a1ade7909d95a0d362b8940df7ef6f9db2d85e98,f7e712f84bf28c998a2a2342a1ade7909d95a0d362b8940df7ef6f9db2d85e98,true,true,
vendor_bundle,jordi_labs_el_polymer,Jordi Labs Analytical Testing,data/zrc_nd_phase_a_rfq_outbox/vendor_packages/jordi_labs_el_polymer_zrc_nd_phase_a_rfq_bundle.zip,vendors/4_jordi_labs_el_polymer/bundle/jordi_labs_el_polymer_zrc_nd_phase_a_rfq_bundle.zip,true,17391,9c91fd2364629fa9c84d200d10a6ef041e479bcac16a50dc70082a3bb31750c3,9c91fd2364629fa9c84d200d10a6ef041e479bcac16a50dc70082a3bb31750c3,true,true,
send_confirmation_template,jordi_labs_el_polymer,Jordi Labs Analytical Testing,data/rfq_send_confirmation_templates/zrc_phase_a/jordi_labs_el_polymer_send_confirmation_template.md,vendors/4_jordi_labs_el_polymer/confirmation/jordi_labs_el_polymer_send_confirmation_template.md,true,1188,cd10fdbd7cd9b1abce439f0c84c9f6405be2de19c4f4c14887cbd72883db0552,,true,true,
