sample_id,run_id,sample_event,phase,timepoint,replicate,article_id,readouts,handoff_notes
ZRCND-A-baseline_rc_3p5m_guard-R1-0h-initial,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,initial,A,0 h,1,baseline_rc_3p5m_guard,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
ZRCND-A-baseline_rc_3p5m_guard-R1-0h-final,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,final,A,0 h,1,baseline_rc_3p5m_guard,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
ZRCND-A-baseline_rc_3p5m_guard-R1-24h-initial,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,initial,A,24 h,1,baseline_rc_3p5m_guard,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
ZRCND-A-baseline_rc_3p5m_guard-R1-24h-final,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,final,A,24 h,1,baseline_rc_3p5m_guard,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h-initial,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,initial,A,0 h,1,challenge_zrc_nd_10m_guard,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h-final,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,final,A,0 h,1,challenge_zrc_nd_10m_guard,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h-initial,ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h,initial,A,24 h,1,challenge_zrc_nd_10m_guard,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h-final,ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h,final,A,24 h,1,challenge_zrc_nd_10m_guard,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h-initial,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h,initial,A,0 h,1,lead_zrc_nd_3p5m_guard,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h-final,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h,final,A,0 h,1,lead_zrc_nd_3p5m_guard,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h-initial,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h,initial,A,24 h,1,lead_zrc_nd_3p5m_guard,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h-final,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h,final,A,24 h,1,lead_zrc_nd_3p5m_guard,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
ZRCND-A-no_module_static_control-R1-0h-initial,ZRCND-A-no_module_static_control-R1-0h,initial,A,0 h,1,no_module_static_control,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
ZRCND-A-no_module_static_control-R1-0h-final,ZRCND-A-no_module_static_control-R1-0h,final,A,0 h,1,no_module_static_control,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
ZRCND-A-no_module_static_control-R1-24h-initial,ZRCND-A-no_module_static_control-R1-24h,initial,A,24 h,1,no_module_static_control,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
ZRCND-A-no_module_static_control-R1-24h-final,ZRCND-A-no_module_static_control-R1-24h,final,A,24 h,1,no_module_static_control,pH;osmolality;conductivity;visible_precipitate,record local tube/well id before measuring medium integrity
