profile,run_id,phase,timepoint,replicate,article_id,target_field,value,unit,measured_at,operator_or_agent,instrument_id,source_file,notes,planned_value,current_value,source_class,instrument_required,recommended_source_file,source_file_exists,review_status,missing_items,capture_instruction
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,albumin_final,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/albumin_final_biochemical_or_plate_reader_export.csv,,,,biochemical_or_plate_reader_export,true,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/albumin_final_biochemical_or_plate_reader_export.csv,false,awaiting_value_entry,value;measured_at;operator_or_agent;instrument_id;source_file_missing,"Enter the real albumin_final value for ZRCND-A-baseline_rc_3p5m_guard-R1-0h, cite the raw source_file, then run the matching wide source-value importer."
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,albumin_initial,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/albumin_initial_biochemical_or_plate_reader_export.csv,,,,biochemical_or_plate_reader_export,true,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/albumin_initial_biochemical_or_plate_reader_export.csv,false,awaiting_value_entry,value;measured_at;operator_or_agent;instrument_id;source_file_missing,"Enter the real albumin_initial value for ZRCND-A-baseline_rc_3p5m_guard-R1-0h, cite the raw source_file, then run the matching wide source-value importer."
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,ammonia_final_uM,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/ammonia_final_uM_biochemical_or_plate_reader_export.csv,,,,biochemical_or_plate_reader_export,true,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/ammonia_final_uM_biochemical_or_plate_reader_export.csv,false,awaiting_value_entry,value;measured_at;operator_or_agent;instrument_id;source_file_missing,"Enter the real ammonia_final_uM value for ZRCND-A-baseline_rc_3p5m_guard-R1-0h, cite the raw source_file, then run the matching wide source-value importer."
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,ammonia_initial_uM,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/ammonia_initial_uM_biochemical_or_plate_reader_export.csv,,,,biochemical_or_plate_reader_export,true,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/ammonia_initial_uM_biochemical_or_plate_reader_export.csv,false,awaiting_value_entry,value;measured_at;operator_or_agent;instrument_id;source_file_missing,"Enter the real ammonia_initial_uM value for ZRCND-A-baseline_rc_3p5m_guard-R1-0h, cite the raw source_file, then run the matching wide source-value importer."
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,bdnf_final_pg_ml,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/bdnf_final_pg_ml_biochemical_or_plate_reader_export.csv,,,,biochemical_or_plate_reader_export,true,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/bdnf_final_pg_ml_biochemical_or_plate_reader_export.csv,false,awaiting_value_entry,value;measured_at;operator_or_agent;instrument_id;source_file_missing,"Enter the real bdnf_final_pg_ml value for ZRCND-A-baseline_rc_3p5m_guard-R1-0h, cite the raw source_file, then run the matching wide source-value importer."
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,bdnf_initial_pg_ml,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/bdnf_initial_pg_ml_biochemical_or_plate_reader_export.csv,,,,biochemical_or_plate_reader_export,true,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/bdnf_initial_pg_ml_biochemical_or_plate_reader_export.csv,false,awaiting_value_entry,value;measured_at;operator_or_agent;instrument_id;source_file_missing,"Enter the real bdnf_initial_pg_ml value for ZRCND-A-baseline_rc_3p5m_guard-R1-0h, cite the raw source_file, then run the matching wide source-value importer."
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,bubble_events,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/bubble_events_pressure_flow_or_resistance_export.csv,,,,pressure_flow_or_resistance_export,true,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/bubble_events_pressure_flow_or_resistance_export.csv,false,awaiting_value_entry,value;measured_at;operator_or_agent;instrument_id;source_file_missing,"Enter the real bubble_events value for ZRCND-A-baseline_rc_3p5m_guard-R1-0h, cite the raw source_file, then run the matching wide source-value importer."
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,conductivity_final_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/conductivity_final_mS_cm_conductivity_meter_export_or_photo.csv,,,,conductivity_meter_export_or_photo,true,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/conductivity_final_mS_cm_conductivity_meter_export_or_photo.csv,false,awaiting_value_entry,value;measured_at;operator_or_agent;instrument_id;source_file_missing,"Enter the real conductivity_final_mS_cm value for ZRCND-A-baseline_rc_3p5m_guard-R1-0h, cite the raw source_file, then run the matching wide source-value importer."
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,conductivity_initial_mS_cm,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/conductivity_initial_mS_cm_conductivity_meter_export_or_photo.csv,,,,conductivity_meter_export_or_photo,true,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/conductivity_initial_mS_cm_conductivity_meter_export_or_photo.csv,false,awaiting_value_entry,value;measured_at;operator_or_agent;instrument_id;source_file_missing,"Enter the real conductivity_initial_mS_cm value for ZRCND-A-baseline_rc_3p5m_guard-R1-0h, cite the raw source_file, then run the matching wide source-value importer."
zrc_phase_a,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,date,,,,,,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/date_bench_or_chain_of_custody_record.csv,,,,bench_or_chain_of_custody_record,false,data/source_files/full/zrc_nd_phase_a/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/date_bench_or_chain_of_custody_record.csv,false,awaiting_value_entry,value;measured_at;operator_or_agent;source_file_missing,"Enter the real date value for ZRCND-A-baseline_rc_3p5m_guard-R1-0h, cite the raw source_file, then run the matching wide source-value importer."
