sample_id,run_id,sample_event,phase,timepoint,replicate,article_id,readout_groups,storage_or_handoff
ZRCND-A-baseline_rc_3p5m_guard-R1-0h-initial,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,initial,A,0 h,1,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-baseline_rc_3p5m_guard-R1-0h-final,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,final,A,0 h,1,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-baseline_rc_3p5m_guard-R1-1h-initial,ZRCND-A-baseline_rc_3p5m_guard-R1-1h,initial,A,1 h,1,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-baseline_rc_3p5m_guard-R1-1h-final,ZRCND-A-baseline_rc_3p5m_guard-R1-1h,final,A,1 h,1,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-baseline_rc_3p5m_guard-R1-24h-initial,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,initial,A,24 h,1,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-baseline_rc_3p5m_guard-R1-24h-final,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,final,A,24 h,1,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-baseline_rc_3p5m_guard-R1-4h-initial,ZRCND-A-baseline_rc_3p5m_guard-R1-4h,initial,A,4 h,1,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-baseline_rc_3p5m_guard-R1-4h-final,ZRCND-A-baseline_rc_3p5m_guard-R1-4h,final,A,4 h,1,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h-initial,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,initial,A,0 h,1,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h-final,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,final,A,0 h,1,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R1-1h-initial,ZRCND-A-challenge_zrc_nd_10m_guard-R1-1h,initial,A,1 h,1,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R1-1h-final,ZRCND-A-challenge_zrc_nd_10m_guard-R1-1h,final,A,1 h,1,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h-initial,ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h,initial,A,24 h,1,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h-final,ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h,final,A,24 h,1,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R1-4h-initial,ZRCND-A-challenge_zrc_nd_10m_guard-R1-4h,initial,A,4 h,1,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R1-4h-final,ZRCND-A-challenge_zrc_nd_10m_guard-R1-4h,final,A,4 h,1,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h-initial,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h,initial,A,0 h,1,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h-final,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h,final,A,0 h,1,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-1h-initial,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-1h,initial,A,1 h,1,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-1h-final,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-1h,final,A,1 h,1,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h-initial,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h,initial,A,24 h,1,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h-final,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h,final,A,24 h,1,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-4h-initial,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-4h,initial,A,4 h,1,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-4h-final,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-4h,final,A,4 h,1,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-no_module_static_control-R1-0h-initial,ZRCND-A-no_module_static_control-R1-0h,initial,A,0 h,1,no_module_static_control,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-no_module_static_control-R1-0h-final,ZRCND-A-no_module_static_control-R1-0h,final,A,0 h,1,no_module_static_control,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-no_module_static_control-R1-1h-initial,ZRCND-A-no_module_static_control-R1-1h,initial,A,1 h,1,no_module_static_control,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-no_module_static_control-R1-1h-final,ZRCND-A-no_module_static_control-R1-1h,final,A,1 h,1,no_module_static_control,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-no_module_static_control-R1-24h-initial,ZRCND-A-no_module_static_control-R1-24h,initial,A,24 h,1,no_module_static_control,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-no_module_static_control-R1-24h-final,ZRCND-A-no_module_static_control-R1-24h,final,A,24 h,1,no_module_static_control,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-no_module_static_control-R1-4h-initial,ZRCND-A-no_module_static_control-R1-4h,initial,A,4 h,1,no_module_static_control,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-no_module_static_control-R1-4h-final,ZRCND-A-no_module_static_control-R1-4h,final,A,4 h,1,no_module_static_control,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-baseline_rc_3p5m_guard-R2-0h-initial,ZRCND-A-baseline_rc_3p5m_guard-R2-0h,initial,A,0 h,2,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-baseline_rc_3p5m_guard-R2-0h-final,ZRCND-A-baseline_rc_3p5m_guard-R2-0h,final,A,0 h,2,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-baseline_rc_3p5m_guard-R2-1h-initial,ZRCND-A-baseline_rc_3p5m_guard-R2-1h,initial,A,1 h,2,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-baseline_rc_3p5m_guard-R2-1h-final,ZRCND-A-baseline_rc_3p5m_guard-R2-1h,final,A,1 h,2,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-baseline_rc_3p5m_guard-R2-24h-initial,ZRCND-A-baseline_rc_3p5m_guard-R2-24h,initial,A,24 h,2,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-baseline_rc_3p5m_guard-R2-24h-final,ZRCND-A-baseline_rc_3p5m_guard-R2-24h,final,A,24 h,2,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-baseline_rc_3p5m_guard-R2-4h-initial,ZRCND-A-baseline_rc_3p5m_guard-R2-4h,initial,A,4 h,2,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-baseline_rc_3p5m_guard-R2-4h-final,ZRCND-A-baseline_rc_3p5m_guard-R2-4h,final,A,4 h,2,baseline_rc_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R2-0h-initial,ZRCND-A-challenge_zrc_nd_10m_guard-R2-0h,initial,A,0 h,2,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R2-0h-final,ZRCND-A-challenge_zrc_nd_10m_guard-R2-0h,final,A,0 h,2,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R2-1h-initial,ZRCND-A-challenge_zrc_nd_10m_guard-R2-1h,initial,A,1 h,2,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R2-1h-final,ZRCND-A-challenge_zrc_nd_10m_guard-R2-1h,final,A,1 h,2,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R2-24h-initial,ZRCND-A-challenge_zrc_nd_10m_guard-R2-24h,initial,A,24 h,2,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R2-24h-final,ZRCND-A-challenge_zrc_nd_10m_guard-R2-24h,final,A,24 h,2,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R2-4h-initial,ZRCND-A-challenge_zrc_nd_10m_guard-R2-4h,initial,A,4 h,2,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-challenge_zrc_nd_10m_guard-R2-4h-final,ZRCND-A-challenge_zrc_nd_10m_guard-R2-4h,final,A,4 h,2,challenge_zrc_nd_10m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R2-0h-initial,ZRCND-A-lead_zrc_nd_3p5m_guard-R2-0h,initial,A,0 h,2,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R2-0h-final,ZRCND-A-lead_zrc_nd_3p5m_guard-R2-0h,final,A,0 h,2,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R2-1h-initial,ZRCND-A-lead_zrc_nd_3p5m_guard-R2-1h,initial,A,1 h,2,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R2-1h-final,ZRCND-A-lead_zrc_nd_3p5m_guard-R2-1h,final,A,1 h,2,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R2-24h-initial,ZRCND-A-lead_zrc_nd_3p5m_guard-R2-24h,initial,A,24 h,2,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R2-24h-final,ZRCND-A-lead_zrc_nd_3p5m_guard-R2-24h,final,A,24 h,2,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R2-4h-initial,ZRCND-A-lead_zrc_nd_3p5m_guard-R2-4h,initial,A,4 h,2,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-lead_zrc_nd_3p5m_guard-R2-4h-final,ZRCND-A-lead_zrc_nd_3p5m_guard-R2-4h,final,A,4 h,2,lead_zrc_nd_3p5m_guard,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-no_module_static_control-R2-0h-initial,ZRCND-A-no_module_static_control-R2-0h,initial,A,0 h,2,no_module_static_control,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-no_module_static_control-R2-0h-final,ZRCND-A-no_module_static_control-R2-0h,final,A,0 h,2,no_module_static_control,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-no_module_static_control-R2-1h-initial,ZRCND-A-no_module_static_control-R2-1h,initial,A,1 h,2,no_module_static_control,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-no_module_static_control-R2-1h-final,ZRCND-A-no_module_static_control-R2-1h,final,A,1 h,2,no_module_static_control,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-no_module_static_control-R2-24h-initial,ZRCND-A-no_module_static_control-R2-24h,initial,A,24 h,2,no_module_static_control,medium_integrity,record local sample location and assay plate/well before analysis
ZRCND-A-no_module_static_control-R2-24h-final,ZRCND-A-no_module_static_control-R2-24h,final,A,24 h,2,no_module_static_control,medium_integrity,record local sample location and assay plate/well before analysis
