record_id,gate_id,sample_id,field,value,unit,observed_at
raw_001,h_a_medium_stability,ha_demo_001,ph_initial,7.20,pH,2026-05-25T09:00:00Z
raw_002,h_a_medium_stability,ha_demo_001,ph_final,7.28,pH,2026-05-25T09:00:00Z
raw_003,h_a_medium_stability,ha_demo_001,osmolality_initial_mosm,300,mOsm,2026-05-25T09:00:00Z
raw_004,h_a_medium_stability,ha_demo_001,osmolality_final_mosm,309,mOsm,2026-05-25T09:00:00Z
raw_005,h_a_medium_stability,ha_demo_001,conductivity_initial_ms_cm,14.0,mS/cm,2026-05-25T09:00:00Z
raw_006,h_a_medium_stability,ha_demo_001,conductivity_final_ms_cm,14.5,mS/cm,2026-05-25T09:00:00Z
raw_007,h_a_medium_stability,ha_demo_001,visible_debris_present,false,boolean,2026-05-25T09:00:00Z
raw_008,h_b_electrical_interface,hb_demo_001,impedance_1khz_control_ohm,10000,ohm,2026-05-25T10:30:00Z
raw_009,h_b_electrical_interface,hb_demo_001,impedance_1khz_candidate_ohm,6900,ohm,2026-05-25T10:30:00Z
raw_010,h_b_electrical_interface,hb_demo_001,charge_storage_control_mC_cm2,1.00,mC/cm2,2026-05-25T10:30:00Z
raw_011,h_b_electrical_interface,hb_demo_001,charge_storage_candidate_mC_cm2,1.22,mC/cm2,2026-05-25T10:30:00Z
raw_012,h_b_electrical_interface,hb_demo_001,noise_control_uvrms,4.0,uVrms,2026-05-25T10:30:00Z
raw_013,h_b_electrical_interface,hb_demo_001,noise_candidate_uvrms,4.9,uVrms,2026-05-25T10:30:00Z
raw_014,h_c_network_response,hc_demo_candidate,viability_pct,92,percent,2026-05-25T14:00:00Z
raw_015,h_c_network_response,hc_demo_candidate,burst_rate_hz,4.8,Hz,2026-05-25T14:00:00Z
raw_016,h_c_network_response,hc_demo_candidate,inflammation_marker,1.05,ratio,2026-05-25T14:00:00Z
raw_017,h_c_network_response,hc_demo_control,viability_pct,95,percent,2026-05-25T14:00:00Z
raw_018,h_c_network_response,hc_demo_control,burst_rate_hz,5.0,Hz,2026-05-25T14:00:00Z
raw_019,h_c_network_response,hc_demo_control,inflammation_marker,1.00,ratio,2026-05-25T14:00:00Z
