gate_id,candidate_id,sample_id,field,value,source_file,measured_at,operator_or_agent,instrument_id,notes
h_a_medium_stability,alg_lam_pedot_lowdose_v0_1,ha_demo_001,ph_initial,7.20,source_files/demo_raw_export.csv,2026-05-25T09:00:00Z,falsiflow_demo_operator,meter_demo_001,Cell-free medium stability pass example.
h_a_medium_stability,alg_lam_pedot_lowdose_v0_1,ha_demo_001,ph_final,7.28,source_files/demo_raw_export.csv,2026-05-25T09:00:00Z,falsiflow_demo_operator,meter_demo_001,Cell-free medium stability pass example.
h_a_medium_stability,alg_lam_pedot_lowdose_v0_1,ha_demo_001,osmolality_initial_mosm,300,source_files/demo_raw_export.csv,2026-05-25T09:00:00Z,falsiflow_demo_operator,osmometer_demo_001,Cell-free medium stability pass example.
h_a_medium_stability,alg_lam_pedot_lowdose_v0_1,ha_demo_001,osmolality_final_mosm,309,source_files/demo_raw_export.csv,2026-05-25T09:00:00Z,falsiflow_demo_operator,osmometer_demo_001,Cell-free medium stability pass example.
h_a_medium_stability,alg_lam_pedot_lowdose_v0_1,ha_demo_001,conductivity_initial_ms_cm,14.0,source_files/demo_raw_export.csv,2026-05-25T09:00:00Z,falsiflow_demo_operator,conductivity_demo_001,Cell-free medium stability pass example.
h_a_medium_stability,alg_lam_pedot_lowdose_v0_1,ha_demo_001,conductivity_final_ms_cm,14.5,source_files/demo_raw_export.csv,2026-05-25T09:00:00Z,falsiflow_demo_operator,conductivity_demo_001,Cell-free medium stability pass example.
h_a_medium_stability,alg_lam_pedot_lowdose_v0_1,ha_demo_001,visible_debris_present,false,source_files/demo_raw_export.csv,2026-05-25T09:00:00Z,falsiflow_demo_operator,visual_qc_demo_001,Cell-free medium stability pass example.
h_b_electrical_interface,alg_lam_pedot_lowdose_v0_1,hb_demo_001,impedance_1khz_control_ohm,10000,source_files/demo_raw_export.csv,2026-05-25T10:30:00Z,falsiflow_demo_operator,potentiostat_demo_001,Electrical interface pass example.
h_b_electrical_interface,alg_lam_pedot_lowdose_v0_1,hb_demo_001,impedance_1khz_candidate_ohm,6900,source_files/demo_raw_export.csv,2026-05-25T10:30:00Z,falsiflow_demo_operator,potentiostat_demo_001,Electrical interface pass example.
h_b_electrical_interface,alg_lam_pedot_lowdose_v0_1,hb_demo_001,charge_storage_control_mC_cm2,1.00,source_files/demo_raw_export.csv,2026-05-25T10:30:00Z,falsiflow_demo_operator,potentiostat_demo_001,Electrical interface pass example.
h_b_electrical_interface,alg_lam_pedot_lowdose_v0_1,hb_demo_001,charge_storage_candidate_mC_cm2,1.22,source_files/demo_raw_export.csv,2026-05-25T10:30:00Z,falsiflow_demo_operator,potentiostat_demo_001,Electrical interface pass example.
h_b_electrical_interface,alg_lam_pedot_lowdose_v0_1,hb_demo_001,noise_control_uvrms,4.0,source_files/demo_raw_export.csv,2026-05-25T10:30:00Z,falsiflow_demo_operator,amplifier_demo_001,Electrical interface pass example.
h_b_electrical_interface,alg_lam_pedot_lowdose_v0_1,hb_demo_001,noise_candidate_uvrms,4.9,source_files/demo_raw_export.csv,2026-05-25T10:30:00Z,falsiflow_demo_operator,amplifier_demo_001,Electrical interface pass example.
h_c_network_response,alg_lam_pedot_lowdose_v0_1,hc_demo_candidate,viability_pct,92,source_files/demo_raw_export.csv,2026-05-25T14:00:00Z,falsiflow_demo_operator,plate_reader_demo_001,Cell response pass example.
h_c_network_response,alg_lam_pedot_lowdose_v0_1,hc_demo_candidate,burst_rate_hz,4.8,source_files/demo_raw_export.csv,2026-05-25T14:00:00Z,falsiflow_demo_operator,mea_demo_001,Network response pass example.
h_c_network_response,alg_lam_pedot_lowdose_v0_1,hc_demo_candidate,inflammation_marker,1.05,source_files/demo_raw_export.csv,2026-05-25T14:00:00Z,falsiflow_demo_operator,plate_reader_demo_002,Cell response pass example.
h_c_network_response,hydrogel_laminin_control,hc_demo_control,viability_pct,95,source_files/demo_raw_export.csv,2026-05-25T14:00:00Z,falsiflow_demo_operator,plate_reader_demo_001,Control response example.
h_c_network_response,hydrogel_laminin_control,hc_demo_control,burst_rate_hz,5.0,source_files/demo_raw_export.csv,2026-05-25T14:00:00Z,falsiflow_demo_operator,mea_demo_001,Control response example.
h_c_network_response,hydrogel_laminin_control,hc_demo_control,inflammation_marker,1.00,source_files/demo_raw_export.csv,2026-05-25T14:00:00Z,falsiflow_demo_operator,plate_reader_demo_002,Control response example.
